# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Fri Feb 17 15:42:08 GMT 2023 [seed=1676648514822]
# -window -working -options
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-1637777.273655899	-2650.728093310591	-1635126.5455625886	2490.363349662519	0.08479610049107578	2571.471500079932	1.0	1.0	1.0	-1635126.5455625886	0.0	-82.61034507882475
1000	-1162121.2981528568	-288.5111526292021	-1161832.7870002275	2489.587927699908	0.860218063101911	2549.027680186831	0.6625548704960246	0.09547935132530525	0.09547935132530523	-1161832.7870002275	0.0	-50.06708644041991
2000	-759851.2372911447	-92.81051013286593	-759758.4267810119	2489.4900553539887	0.9580904090212243	2530.1860030812463	0.36074274795468403	0.033098641238540255	0.03309864123854027	-759758.4267810119	0.0	-15.134172164239896
3000	-255635.24032774774	-270.5770448627589	-255364.66328288498	2489.4721570966176	0.975988666392368	2665.7167076120486	0.5815705098182204	0.0034011735586144667	0.0034011735586144663	-255364.66328288498	0.0	-268.2660692867203
4000	-183493.4815595397	-365.4469546016155	-183128.0346049381	2489.463592287824	0.9845534751857485	3688.3219643208427	14.19818268599159	5.460500622257969E-4	5.460500622257966E-4	-183128.0346049381	0.0	-368.07033063339367
5000	-169768.88584248116	-460.7066627578493	-169308.17917972332	2492.397156175855	-1.9490104128449275	4998.322012585682	39.32799123076063	4.0334949957957395E-4	4.0334949957957395E-4	-169308.17917972332	0.0	-462.61257295444005
6000	-157805.89918372396	-546.7050709195449	-157259.19411280443	2506.866139913227	-16.417994150217055	7062.4669325554005	102.24846160631047	2.5079774117633556E-4	2.5079774117633545E-4	-157259.19411280443	0.0	-548.3107561979427
7000	-151431.14131381933	-568.3631570684823	-150862.77815675084	2499.7439895973907	-9.295843834380776	7664.33745232525	114.72808104171874	2.3722688262296665E-4	2.3722688262296662E-4	-150862.77815675084	0.0	-569.87545388539
8000	-144178.52993772997	-589.8297489539115	-143588.70018877604	2490.830281698561	-0.3821359355511049	8442.088345919577	163.52450369300647	2.0385461577725268E-4	2.0385461577725257E-4	-143588.70018877604	0.0	-591.209006724733
9000	-141721.75515703592	-610.8904286274013	-141110.86472840852	2489.842948387769	0.6051973752410049	9327.665343009852	153.98334609245487	1.7172841314407706E-4	1.7172841314407722E-4	-141110.86472840852	0.0	-612.5845622393656
10000	-139624.08817646117	-635.4975629322313	-138988.59061352894	2489.7058502498935	0.7422955131164599	10162.562173074113	189.34560130395943	1.604490504365975E-4	1.6044905043659756E-4	-138988.59061352894	0.0	-637.0330506052121
11000	-137755.80128222305	-668.8575809150154	-137086.94370130805	2516.602660068984	-26.154514305973862	12318.693149102422	291.45782681853115	1.2599546242675696E-4	1.2599546242675707E-4	-137086.94370130805	0.0	-670.2572901234247
12000	-137122.5991165288	-678.3826808325738	-136444.21643569623	2502.071027500375	-11.622881737364878	12501.820496860184	268.3212948305273	1.2595018109805894E-4	1.2595018109805894E-4	-136444.21643569623	0.0	-679.8501510451388
13000	-136377.09366509234	-681.6098370006625	-135695.48382809167	2490.4635640707634	-0.015418307753407134	12695.390493735587	363.6415906041537	1.2535980511434877E-4	1.253598051143488E-4	-135695.48382809167	0.0	-682.7664700221615
14000	-134342.9093272039	-688.5551378140542	-133654.35418938985	2490.303756048425	0.14438971458503147	13251.232367128192	400.03900610795785	1.199653364764984E-4	1.1996533647649843E-4	-133654.35418938985	0.0	-689.661599041634
15000	-133658.629312795	-696.6031628454567	-132962.02614994955	2489.797491668733	0.6506540942768879	13588.821628958662	375.903796092584	1.1115711226976161E-4	1.1115711226976161E-4	-132962.02614994955	0.0	-697.9017548450576
16000	-133314.71116496506	-707.7697239241572	-132606.9414410409	2489.8283650201824	0.6197807428275155	14188.70605973002	446.82098668966853	1.1060666419720499E-4	1.1060666419720503E-4	-132606.9414410409	0.0	-708.86070139499
17000	-132357.75248993846	-716.5868234570052	-131641.16566648145	2490.0878429479794	0.3603028150305363	14798.980580953788	428.7632894092531	9.956389140193181E-5	9.95638914019318E-5	-131641.16566648145	0.0	-717.8886217114361
18000	-132170.59545650939	-721.6333646387505	-131448.96209187064	2491.1763619665535	-0.7282162035435249	15332.227938428206	585.0379283881146	1.001888721570537E-4	1.0018887215705373E-4	-131448.96209187064	0.0	-722.5762872535639
19000	-132017.14287069303	-727.589025416324	-131289.5538452767	2493.1892936695576	-2.741147906547667	15828.08503882806	561.8931118206109	9.531178729811323E-5	9.531178729811315E-5	-131289.5538452767	0.0	-728.6406948814844
20000	-131320.82647396027	-731.2161403627425	-130589.61033359752	2489.4576618800975	0.9904838829124856	16067.441530026885	678.4781279828937	9.531178729811323E-5	9.53117872981132E-5	-130589.61033359752	0.0	-732.063960260846
21000	-130371.30930261081	-731.5793587015849	-129639.72994390923	2489.4600937260525	0.9880520369574697	16214.164695437436	570.3131535964917	9.32125870587195E-5	9.321258705871943E-5	-129639.72994390923	0.0	-732.6365780652789
22000	-129338.93241402593	-738.6166517474592	-128600.31576227846	2490.1196928973786	0.32845286563133413	16704.87327819028	752.5063271835384	8.893602702695351E-5	8.89360270269535E-5	-128600.31576227846	0.0	-739.4607368449102
23000	-128777.48252004173	-747.6619011746894	-128029.82061886703	2493.806041675616	-3.357895912606182	17426.05757559286	887.9595732385968	8.427675418644831E-5	8.427675418644836E-5	-128029.82061886703	0.0	-748.4055616491268
24000	-126984.51552875215	-747.7123566708059	-126236.80317208135	2491.147175760523	-0.6990299975132075	17566.599491169378	835.0650947287228	7.953415416624173E-5	7.953415416624174E-5	-126236.80317208135	0.0	-748.6218767353279
25000	-125731.20792896759	-752.5360705859608	-124978.67185838163	2490.744891793347	-0.2967460303370899	17854.032399697127	872.5635465150012	7.604092857045308E-5	7.604092857045303E-5	-124978.67185838163	0.0	-753.4717447041675
26000	-125315.96040640332	-758.9782932601423	-124556.98211314318	2490.6123447455357	-0.1641989825257042	18495.950968888425	800.980761902855	7.689894958928217E-5	7.689894958928212E-5	-124556.98211314318	0.0	-759.9469349176596
27000	-122213.78403539736	-764.8372470953581	-121448.946788302	2491.3507019073886	-0.9025561443786501	18967.47432573744	811.7025818406804	7.117313317553918E-5	7.117313317553922E-5	-121448.946788302	0.0	-765.9162116154195
28000	-121416.07108737285	-770.5241315021245	-120645.54695587073	2490.184012840553	0.26413292245706543	19377.85732728239	1050.7242367794724	7.008271932853077E-5	7.008271932853073E-5	-120645.54695587073	0.0	-771.3553389818517
29000	-119077.81223732309	-772.9794892546954	-118304.8327480684	2489.6489660946404	0.7991796683695611	19742.303889613057	1021.4060774032458	6.50488256350099E-5	6.50488256350099E-5	-118304.8327480684	0.0	-773.959420876338
30000	-117771.4920369004	-783.6889315989531	-116987.80310530144	2490.8567473576954	-0.40860159468547863	20711.8753152022	1117.7315108776131	6.054597052941309E-5	6.054597052941311E-5	-116987.80310530144	0.0	-784.6687746597362
31000	-116113.62822427897	-803.7934503587505	-115309.83477392023	2503.267040481533	-12.818894718523097	23311.992440547292	1283.2858325852358	5.613592437680714E-5	5.613592437680714E-5	-115309.83477392023	0.0	-804.6774949424224
32000	-115168.38753201325	-806.3433382701753	-114362.04419374307	2493.54678411865	-3.098638355640105	23632.9510263301	1309.9442688072152	5.2818942474841397E-5	5.281894247484141E-5	-114362.04419374307	0.0	-807.3044849339549
33000	-114691.95575707564	-813.1650901969115	-113878.79066687873	2490.902919640331	-0.4547738773212586	24605.80442233339	1476.4124798210087	5.010641119820584E-5	5.010641119820577E-5	-113878.79066687873	0.0	-814.0684958938809
34000	-113964.78820741299	-830.4735489901908	-113134.3146584228	2491.5653428314536	-1.117197068443602	26616.045042255515	1777.987216730248	4.5956394144197875E-5	4.5956394144197875E-5	-113134.3146584228	0.0	-831.2833129016233
35000	-111356.94577610075	-837.3108487238316	-110519.63492737692	2491.162102784538	-0.713957021528131	27298.483357383822	1858.8157461765525	4.509395310441526E-5	4.509395310441521E-5	-110519.63492737692	0.0	-838.0904667957053
36000	-110815.0935243703	-853.0432229891205	-109962.05030138118	2503.935612358869	-13.487466595859132	29426.82065713331	2368.7116943092383	4.0255025552822994E-5	4.025502555282301E-5	-109962.05030138118	0.0	-853.7211478853592
