# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Tue May 30 23:01:41 BST 2023 [seed=1234]
# -seed 1234 simsampledtips_perGen_24_0.00025_124_1243.4.fasta.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-1.7278813110995345E7	-4674.489883374005	-1.727413862111197E7	2429.923594090506	114.9129153841941	3460.3800930938373	1.0	1.0	1.0	-1.727413862111197E7	0.0	-1217.611992195006
1000	-1.1713732144859897E7	-2528.3514875733854	-1.1711203793372324E7	2429.743552627675	115.0929568470251	3408.5407414845276	0.95181804972032	0.40624022373553004	0.40624022373553015	-1.1711203793372324E7	0.0	-1147.6595756617849
2000	-1969565.8766365102	-1170.794996367118	-1968395.0816401432	2429.5498738960737	115.28663557862637	3356.9247141869273	0.8990587074414224	0.02983740811522488	0.029837408115224874	-1968395.0816401432	0.0	-1075.982492127038
3000	-1346716.551901925	-1178.3541441611337	-1345538.1977577638	2429.4549104116377	115.38159906306237	3398.300028744773	0.8902845343260698	0.009999386061114265	0.009999386061114258	-1345538.1977577638	0.0	-1150.285210533056
4000	-1219097.4439480612	-1299.0265419393195	-1217798.417406122	2429.458094110181	115.37841536451924	3491.220223764445	1.0101158827278178	0.004387593320217752	0.004387593320217748	-1217798.417406122	0.0	-1289.91954790819
5000	-1193993.1964485706	-1513.0073832232656	-1192480.1890653474	2429.4730568097993	115.3634526649007	3659.2989471510855	1.180439066105318	0.0034934849080598854	0.0034934849080598945	-1192480.1890653474	0.0	-1506.4163673569815
6000	-1169437.88934669	-1666.7387648473555	-1167771.1505818425	2429.4518501944754	115.3846592802247	3793.7014172599565	1.3753060143199807	0.003268489331416605	0.003268489331416612	-1167771.1505818425	0.0	-1660.4303134471763
7000	-1153229.0538241738	-1820.3900439247805	-1151408.663780249	2429.4467238776074	115.38978559709267	3945.4751636875926	1.526182825228941	0.0032396491778872026	0.0032396491778872035	-1151408.663780249	0.0	-1813.6192613322146
8000	-1137153.7600226996	-1943.9530450085194	-1135209.8069776911	2429.4467306453207	115.38977882937934	4089.22902103421	1.756819180565285	0.0030305498170650385	0.003030549817065045	-1135209.8069776911	0.0	-1937.4821243867998
9000	-1117622.084777404	-2047.779813231203	-1115574.304964173	2429.368233354934	115.46827611976596	4196.12593810301	1.8117624319192074	0.0029542514599077137	0.002954251459907722	-1115574.304964173	0.0	-2041.2999504969719
10000	-1103848.5277277455	-2160.1762550938497	-1101688.3514726516	2429.355900553393	115.48060892130707	4334.431940405779	2.072438726962279	0.002849457847458065	0.0028494578474580635	-1101688.3514726516	0.0	-2153.6418691873346
11000	-1088598.6203557432	-2256.318270936501	-1086342.3020848066	2429.356899309827	115.47961016487307	4439.177665483344	2.2514574411403045	0.002754007691035045	0.0027540076910350397	-1086342.3020848066	0.0	-2249.85526005974
12000	-1077871.8234157066	-2326.9391352696603	-1075544.884280437	2429.3504350352337	115.48607443946639	4529.4658143536235	2.362480316628502	0.002675882128434156	0.0026758821284341527	-1075544.884280437	0.0	-2320.5576593915507
13000	-1064784.8337821015	-2398.083721046632	-1062386.750061055	2429.3647223179387	115.47178715676137	4625.6160637936	2.5257025252913468	0.002575743095372449	0.0025757430953724497	-1062386.750061055	0.0	-2391.870929238605
14000	-1055454.9214766622	-2497.491904204426	-1052957.4295724577	2429.3416797314494	115.49482974325065	4737.132580727301	2.5635576528844313	0.0025124133841957987	0.002512413384195796	-1052957.4295724577	0.0	-2491.301357346588
15000	-1045096.1078552167	-2568.233829280128	-1042527.8740259366	2429.2675248922205	115.56898458247952	4831.090334691198	3.019231106479288	0.00242865353932418	0.002428653539324179	-1042527.8740259366	0.0	-2562.075040367397
16000	-1033768.6483172117	-2637.6317761297973	-1031131.0165410818	2429.2292783733947	115.60723110130539	4927.0044832723115	3.0457201642946785	0.00242865353932418	0.0024286535393241806	-1031131.0165410818	0.0	-2631.241139303325
