AncId, Desc1, Desc2, Branch Length 1, Branch Length 2
101, 4022_340.865274828365, 3422_287.551738330503, 251.6096587266, 198.2961222288
102, 3282_276.410228761182,   101, 268.3003123843, 81.1456997248
103, 14476_1992.9004245399, 12751_1713.44663728494, 340.2925430492, 60.8387557943
104, 11186_1360.66573225611,   103, 45.2826229427, 337.2247721773
105,   104, 9822_1121.12994781145, 247.7457389348, 53.4925774328
106, 7403_745.92583638303,   105, 38.0522899869, 359.7638239825
107, 7940_824.374184102572, 8191_873.339782291385, 35.7249335708, 84.6905317596
108,   106,   107, 106.9070928734, 187.6827970091
109,   108, 6034_556.749770571594, 199.3703309336, 155.1536479825
110,   109, 4690_408.30797482925, 172.4765718416, 179.1884240818
111, 12623_1688.76723968653, 11109_1347.59986774857, 401.8368996520, 60.6695277140
112, 16500_2331.54811306949, 16355_2308.90358759874, 64.6419952099, 41.9974697391
113, 15521_2172.25284488258,   112, 114.9956202051, 209.6488931821
114,   113, 11900_1524.01188513641, 616.7539134743, 83.5085739332
115,   111,   114, 30.3113566043, 183.8843277730
116, 17705_2537.73597715007, 16330_2306.83735630125, 400.5039408007, 169.6053199518
117,   116, 14192_1952.15613880417, 235.3295953863, 50.2536978410
118,   117, 15418_2155.14825258509, 188.6421364277, 441.8879480496
119, 12459_1655.82007795394,   118, 37.6516052818, 95.0918318634
120, 17667_2533.10443054811, 12697_1702.17689212472, 861.7364997139, 30.8089612905
121,   119,   120, 44.1117278154, 97.3111859776
122,   115,   121, 28.2905763351, 345.7283377615
123,   122, 11693_1461.8436892996, 97.8010894726, 331.3163716771
124, 12418_1647.46187757245, 12907_1744.53425147247, 71.4278860317, 168.5002599318
125, 12701_1703.05102027666, 11769_1489.78817218508, 253.1245296293, 39.8616815378
126,   124,   125, 405.3281939554, 279.2206930620
127,   126, 9575_1081.07410138633, 223.8442820723, 134.2125858732
128,   127, 10053_1156.19510166285, 136.4859436701, 345.8195298198
129,   128, 10308_1193.44805221542, 130.1413733123, 513.2138536846
130, 5999_551.824744986231,   129, 37.4726704071, 165.8821239517
131, 3598_303.128427106901,   130, 29.6818876965, 240.9055351687
132,   123,   131, 887.4297761111, 30.3489978989
133,   110,   132, 123.0274423334, 137.0054330974
134,   102,   133, 82.5862265816, 180.5684186187
135, 1976_162.126357541736, 1958_160.783890603837, 74.5056845367, 73.1632175988
136, 292 1,   135, 33.3826215358, 120.0032945408
137,   134,   136, 38.7306776425, 80.8243663114
138, 17539_2507.7228783019, 17493_2498.81320576445, 98.9492324535, 90.0395599160
139,   138, 15421_2155.69613164541, 446.1833860014, 193.1058717984
140,   139, 15923_2241.15261437945, 252.0390904591, 530.6014449915
141,   140, 16906_2398.29740602636, 22.4680492932, 710.2142859316
142, 12544_1671.99000964532,   141, 39.1805492642, 55.2736597136
143, 14853_2061.41013122812, 14409_1982.37113149575, 114.5864474681, 35.5474477357
144, 16811_2384.34992755665, 16012_2256.48651080019, 316.5958915692, 188.7324748127
145,   143,   144, 41.9625647581, 162.8929169855
