"","NoReps","NoCases","perBaseRate","SNPRate","predictedSNPs","predictedGens","actualGens","SNPsAccuracy","GensAccuracy"
"1",100,100,1.66666666666667e-05,0.2,0.143601578574203,65278287,50688000,71.8007892871017,71.2155007102273
"2",100,100,4.16666666666667e-05,0.5,0.434964297692602,55155521,49519200,86.9928595385204,88.6179078014184
"3",100,100,8.33333333333333e-05,1,0.969204440377317,50177582,49841900,96.9204440377317,99.3265064132788
"4",100,100,0.000166666666666667,2,1.86333174723938,48495458,46835400,93.1665873619688,96.4555485807744
"5",100,100,0.000416666666666667,5,4.72445803044561,52086885,50070200,94.4891606089123,95.9722849119836
"6",100,100,1.66666666666667e-05,0.2,0.17594572857659,47372176,39081500,87.9728642882948,78.7861878382355
"7",100,100,4.16666666666667e-05,0.5,0.418264110947034,42305341,37817100,83.6528221894067,88.1317155466707
"8",100,100,8.33333333333333e-05,1,0.804369297160362,39381901,34299800,80.4369297160362,85.1832926139511
"9",100,100,0.000166666666666667,2,1.78832087449668,44020713,39859600,89.4160437248338,89.5605751186665
"10",100,100,0.000416666666666667,5,4.44573266683808,42564378,39843600,88.9146533367617,93.1713549980423
"11",100,100,1.66666666666667e-05,0.2,0.170114414358619,63180546,50118400,85.0572071793093,73.9374241795428
"12",100,100,4.16666666666667e-05,0.5,0.468111032996909,47579361,45602600,93.6222065993818,95.6652449641029
"13",100,100,8.33333333333333e-05,1,0.884294318255191,52441539,45895700,88.4294318255191,85.7375767228738
"14",100,100,0.000166666666666667,2,1.89818169258317,49504908,46364500,94.9090846291584,93.226697149759
"15",100,100,0.000416666666666667,5,4.70236961724189,51820861,49705800,94.0473923448379,95.7448406423395
"16",100,100,1.66666666666667e-05,0.2,0.152086695197395,43157916,36120900,76.0433475986974,80.5181598465155
"17",100,100,4.16666666666667e-05,0.5,0.430371388203165,41785707,37085000,86.0742776406331,87.3245058649049
"18",100,100,8.33333333333333e-05,1,0.906030740485841,42556467,40444600,90.6030740485841,94.7783709073646
"19",100,100,0.000166666666666667,2,1.84562724369977,40244044,39003200,92.2813621849884,96.818609755097
"20",100,100,0.000416666666666667,5,4.7017604338933,35963449,35419400,94.035208677866,98.4639801916464
"21",100,100,1.66666666666667e-05,0.2,0.145674144682138,40472161,31964000,72.8370723410691,73.3820516831435
"22",100,100,4.16666666666667e-05,0.5,0.439870267482248,42906235,37276500,87.9740534964496,84.8973616085201
"23",100,100,8.33333333333333e-05,1,0.832515603691291,36427783,32121600,83.2515603691291,86.5941204672245
"24",100,100,0.000166666666666667,2,1.75338366081465,35535166,32737000,87.6691830407323,91.4525888138803
"25",100,100,0.000416666666666667,5,4.47285638215116,35519811,32682300,89.4571276430232,91.3178968432454
