# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu Nov 24 15:21:49 GMT 2022 [seed=1669303298054]
# -window -working -options
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	kappa	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-2446242.136609259	-2811.7291787459785	-2443430.4074305133	2509.394733486738	39.52076640903215	2659.591420118371	1.0	2.0	1.0	1.0	-2443430.4074305133	0.0	-153.64299754497907
1000	-1260330.7108194255	-324.65939544890307	-1260006.0514239767	2509.152327429223	39.763172466547076	2619.6761122481535	0.7342918367198076	7.987256607576145	0.08374528385502075	0.08374528385502075	-1260006.0514239767	0.0	-106.59405930257697
2000	-434759.1748572731	-95.54456104643191	-434663.6302962267	2509.134700411711	39.780799484059116	2584.8453043547433	0.6237141943804432	16.69923837546564	0.01673069648054325	0.01673069648054325	-434663.6302962267	0.0	-53.159943412582386
3000	-87574.41374939286	-15.355827007998771	-87559.05792238486	2509.132353038456	39.78314685731402	2565.8440093281347	0.31818924966730106	43.172033611729525	0.0022153617940773385	0.00221536179407734	-87559.05792238486	0.0	-9.87140098178773
4000	-43481.756347822105	5.300264971156222	-43487.05661279326	2509.1165234995783	39.79897639619185	2562.0443628698863	0.34907943875582564	17.113017461826747	7.070566695119458E-4	7.070566695119462E-4	-43487.05661279326	0.0	4.145328868062511
5000	-24377.761491510195	-179.65371511662366	-24198.107776393572	2509.425852978052	39.489646917718346	2694.3364125962416	1.241593664409329	8.613658258454809	3.5667315462507254E-5	3.5667315462507275E-5	-24198.107776393572	0.0	-184.1178464480595
6000	-23588.74482940082	-361.2730963958524	-23227.471733004968	2509.3255723413445	39.589927554425685	3118.910318191437	3.7256296803514477	6.714682484785667	1.4922153257961679E-5	1.492215325796168E-5	-23227.471733004968	0.0	-365.6098466782405
7000	-23392.803152777837	-437.4792616115057	-22955.323891166332	2509.2998101725466	39.61568972322357	3442.859815662235	7.355714899943483	5.916046915109089	1.4394803553398325E-5	1.4394803553398327E-5	-22955.323891166332	0.0	-441.3949339413848
8000	-23038.0282691008	-484.7871270231866	-22553.24114207761	2511.3977263145684	37.51777358120171	3735.345417512376	9.610319329097033	4.8925967621598145	1.2629563033326395E-5	1.2629563033326393E-5	-22553.24114207761	0.0	-488.81694252518673
9000	-22894.844787349437	-564.7335013502667	-22330.11128599917	2509.4696541529224	39.44584574284772	4340.297382718264	15.630595954317432	3.3993866647258733	1.015123913409878E-5	1.0151239134098785E-5	-22330.11128599917	0.0	-568.922977777991
