"","from","to","TimeDiff"
"1","0","71","45.5393960030661"
"2","71","344","1"
"3","71","345","1"
"4","345","817","28.0453020421548"
"5","345","818","28.0453020421548"
"6","818","861","3.93016296865236"
"7","818","862","3.93016296865236"
"8","344","864","32.2611519606912"
"9","344","865","32.2611519606912"
"10","344","866","32.2611519606912"
"11","817","886","6.23554424211336"
"12","861","958","8.32708177590067"
"13","861","959","8.32708177590067"
"14","861","960","8.32708177590067"
"15","864","1036","15.3260612069759"
"16","864","1037","15.3260612069759"
"17","886","1045","13.7021119944342"
"18","1045","1241","14.1455413809997"
"19","1045","1242","14.1455413809997"
"20","1045","1243","14.1455413809997"
"21","865","1338","36.7909002001068"
"22","865","1339","36.7909002001068"
"23","1242","1398","13.0754584653992"
"24","862","1535","50.8424564338213"
"25","1338","1601","20.5755889627793"
"26","1339","1640","23.8821532492379"
"27","1339","1641","23.8821532492379"
"28","1339","1642","23.8821532492379"
"29","1243","1684","34.8834300112543"
"30","1243","1685","34.8834300112543"
"31","1685","1793","6.80284392919501"
"32","1398","1813","30.2151906848787"
"33","1398","1814","30.2151906848787"
"34","1684","1815","8.43259091589826"
"35","1684","1816","8.43259091589826"
"36","1535","1848","26.2886208844673"
"37","1535","1849","26.2886208844673"
"38","1535","1850","26.2886208844673"
"39","1535","1851","26.2886208844673"
"40","1535","1852","26.2886208844673"
"41","1535","1853","26.2886208844673"
"42","1535","1854","26.2886208844673"
"43","1848","1999","10.0830460303633"
"44","1848","2000","10.0830460303633"
"45","1848","2001","10.0830460303633"
"46","1815","2020","14.7682982043864"
"47","1850","2055","14.7794100289585"
"48","1850","2056","14.7794100289585"
"49","1852","2145","20.5178079911098"
"50","1852","2146","20.5178079911098"
"51","2055","2147","6.04615808944115"
"52","2055","2148","6.04615808944115"
"53","1816","2149","24.5559412063503"
"54","1816","2150","24.5559412063503"
"55","1816","2151","24.5559412063503"
"56","1849","2152","21.07488638985"
"57","1851","2153","21.1321369469389"
"58","1851","2154","21.1321369469389"
"59","2001","2239","17.112721013964"
"60","2001","2240","17.112721013964"
"61","2001","2241","17.112721013964"
"62","2001","2242","17.112721013964"
"63","2001","2243","17.112721013964"
"64","2001","2244","17.112721013964"
"65","2148","2287","8.80435535678939"
"66","2150","2315","10.1564092028898"
"67","2150","2316","10.1564092028898"
"68","1853","2319","31.2217765440804"
"69","1814","2350","36.2421544718389"
"70","1814","2351","36.2421544718389"
"71","1999","2382","23.1577805003001"
"72","1999","2383","23.1577805003001"
"73","2151","2403","14.2542206094836"
"74","2151","2404","14.2542206094836"
"75","2151","2405","14.2542206094836"
"76","2151","2406","14.2542206094836"
"77","2151","2407","14.2542206094836"
"78","2152","2421","15.3341565348099"
"79","2242","2432","9.99029494061614"
"80","2242","2433","9.99029494061614"
"81","2319","2437","6.33879239107003"
"82","2315","2526","12.1507593476478"
"83","2351","2562","13.185857154208"
"84","2351","2563","13.185857154208"
"85","2351","2564","13.185857154208"
"86","2351","2565","13.185857154208"
"87","2351","2566","13.185857154208"
"88","2421","2585","10.7512233153003"
"89","2146","2586","26.872945083283"
"90","2287","2603","19.1272436665242"
"91","2287","2604","19.1272436665242"
"92","2566","2619","3.8977294689889"
"93","2566","2620","3.8977294689889"
"94","2586","2625","3.1495276796208"
"95","2586","2626","3.1495276796208"
"96","2586","2627","3.1495276796208"
"97","2586","2628","3.1495276796208"
"98","2562","2634","5.46646176016824"
"99","2562","2635","5.46646176016824"
"100","2562","2636","5.46646176016824"
"101","2562","2637","5.46646176016824"
"102","2562","2638","5.46646176016824"
"103","2562","2639","5.46646176016824"
"104","2562","2640","5.46646176016824"
"105","2404","2654","16.5460931417637"
"106","2563","2656","6.45496630795293"
"107","2433","2664","15.5602214008788"
"108","2656","2678","0.986118079364871"
"109","2585","2679","6.02768055962039"
"110","2585","2680","6.02768055962039"
"111","2603","2725","8.77198913599645"
"112","2244","2735","31.4202900654242"
"113","2244","2736","31.4202900654242"
"114","2625","2753","9.43902885352225"
"115","2526","2775","17.3933131508782"
"116","2526","2776","17.3933131508782"
"117","2678","2778","7.44910484208623"
"118","2678","2779","7.44910484208623"
"119","2437","2842","27.525636020602"
"120","2153","2872","46.2714581828048"
"121","2779","2876","6.97624718884887"
"122","2779","2877","6.97624718884887"
"123","2753","2878","7.63134169656459"
"124","2753","2879","7.63134169656459"
"125","2725","2890","11.0953685193517"
"126","2725","2891","11.0953685193517"
"127","2640","2912","19.1970765503749"
"128","2912","2976","4.6751854941389"
"129","2891","2977","6.51275651609268"
"130","2872","3023","10.1593053328056"
"131","2872","3024","10.1593053328056"
"132","2872","3025","10.1593053328056"
"133","2872","3026","10.1593053328056"
"134","2383","3049","45.5150676052609"
"135","2383","3050","45.5150676052609"
"136","2383","3051","45.5150676052609"
"137","2977","3111","6.19256420291188"
"138","2977","3112","6.19256420291188"
"139","2634","3121","31.0990788017454"
"140","2350","3148","52.6462103009749"
"141","2626","3186","37.4061792542711"
"142","2626","3187","37.4061792542711"
"143","2877","3207","21.2855572336717"
"144","2842","3220","24.530086610684"
"145","1854","3250","91.0993238677948"
"146","2736","3327","37.2591027522143"
"147","2976","3346","21.1696150144368"
"148","3112","3359","15.9777515094077"
"149","2145","3424","81.7547473004715"
"150","2056","3456","88.5342493767999"
"151","2056","3457","88.5342493767999"
"152","2056","3458","88.5342493767999"
"153","2056","3459","88.5342493767999"
"154","1642","3557","124.900680741331"
"155","1642","3558","124.900680741331"
"156","3148","3567","23.8125995663514"
"157","3050","3572","30.6299460124628"
"158","3023","3587","32.832747364843"
"159","3023","3588","32.832747364843"
"160","3023","3589","32.832747364843"
"161","3459","3595","7.63596810906566"
"162","3457","3626","9.3677371234734"
"163","3457","3627","9.3677371234734"
"164","3457","3628","9.3677371234734"
"165","3457","3629","9.3677371234734"
"166","3327","3667","18.8019668752026"
"167","2679","3687","63.6422548267914"
"168","2878","3699","49.8786122026258"
"169","2878","3700","49.8786122026258"
"170","2878","3701","49.8786122026258"
"171","2878","3702","49.8786122026258"
"172","2878","3703","49.8786122026258"
"173","2878","3704","49.8786122026258"
"174","3458","3718","15.3649918112012"
"175","3627","3731","7.1111814955016"
"176","3627","3732","7.1111814955016"
"177","3557","3735","11.2632344497859"
"178","3557","3736","11.2632344497859"
"179","3557","3737","11.2632344497859"
"180","3557","3738","11.2632344497859"
"181","3557","3739","11.2632344497859"
"182","3626","3757","8.60021205134532"
"183","3626","3758","8.60021205134532"
"184","3456","3792","19.611277140477"
"185","3595","3859","16.1669654769444"
"186","3595","3860","16.1669654769444"
"187","3595","3861","16.1669654769444"
"188","3718","3876","9.86621895222362"
"189","3025","3893","51.8450038447752"
"190","3025","3894","51.8450038447752"
"191","3792","3896","7.00533066028578"
"192","3792","3897","7.00533066028578"
"193","3738","3937","11.4945413683258"
