# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Wed Jun 07 07:23:31 BST 2023 [seed=1234]
# -seed 1234 simsampledtips_perGen_24_2.08333333333333e-05_166_191.95.fasta.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-3073871.432775584	-2887.0847606023062	-3070984.348014982	2510.823862914712	24.581873825297862	2696.9852974077157	1.0	1.0	1.0	-3070984.348014982	0.0	-193.4770431875088
1000	-1257912.3355224177	-267.38839327663413	-1257644.947129141	2509.449799103107	25.955937636902945	2643.9551338551114	0.7957985988161824	0.05353071660514288	0.05353071660514287	-1257644.947129141	0.0	-130.91538992805954
2000	-340054.5655881957	-99.3527084884489	-339955.2128797072	2509.38488007267	26.020856667340013	2611.752070412278	0.5822687372219031	0.01065449892588245	0.01065449892588245	-339955.2128797072	0.0	-77.69903191073506
3000	-84426.07246445549	-37.710400932499546	-84388.36206352299	2509.3740099697307	26.03172677027942	2593.4082913291018	0.4487077262333224	0.00190945817611784	0.001909458176117839	-84388.36206352299	0.0	-40.04824686408781
4000	-41186.864125373155	-122.01424800734463	-41064.84987736581	2509.411966291227	25.993770448782925	2642.4049135077294	0.8029396452869475	4.6746235291918013E-4	4.6746235291918035E-4	-41064.84987736581	0.0	-128.1999522128703
5000	-38992.793365057274	-155.75892964544073	-38837.034435411835	2509.5726072087027	25.83312953130735	2667.8341810484458	0.9672603790362139	3.977725173282982E-4	3.9777251732829805E-4	-38837.034435411835	0.0	-162.01798740684683
6000	-31512.27210328656	-260.97987990754416	-31251.292223379016	2509.4159601516903	25.989776588319728	2772.57164399705	1.0678696686931013	1.2902190429859637E-4	1.2902190429859637E-4	-31251.292223379016	0.0	-268.42565625482507
7000	-29340.24553854413	-429.9935928663968	-28910.251945677734	2509.378409512204	26.027327227805927	3142.798647888924	4.054332848570975	3.1664392867544866E-5	3.166439286754488E-5	-28910.251945677734	0.0	-437.1285203304255
8000	-28651.4096455968	-511.0093618819249	-28140.400283714873	2509.3495670294687	26.056169710541326	3434.0970554076384	5.677605409528758	2.6636535664399888E-5	2.6636535664399905E-5	-28140.400283714873	0.0	-517.9463629630627
9000	-28306.9659442392	-611.8727910211687	-27695.093153218033	2509.3444860842137	26.061250655796357	3984.337736070689	8.382252126245032	2.307722386867798E-5	2.3077223868677966E-5	-27695.093153218033	0.0	-618.5657573931987
