# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Tue Jun 06 12:20:44 BST 2023 [seed=1234]
# -seed 1234 simsampledtips_perGen_24_1.25e-05_71_81.6.fasta.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-1243883.5186768232	-1123.5210401650684	-1242759.9976366581	999.5652355867142	28.005008980505863	1060.5480912761855	1.0	1.0	1.0	-1242759.9976366581	0.0	-65.88385450632592
1000	-693990.5150117159	-131.9628655040092	-693858.552146212	998.5878499175021	28.98239464971789	1032.5084252628744	0.47414145898405086	0.11720032562691914	0.11720032562691914	-693858.552146212	0.0	-15.668235027043705
2000	-420433.53425217484	-19.60793743259214	-420413.92631474225	998.5426806077348	29.027563959485178	1018.6572431114068	0.25052371767710124	0.05075485793076691	0.05075485793076692	-420413.92631474225	0.0	26.328535206208993
3000	-50978.85199779929	83.6039237243336	-51062.45592152362	998.532645239064	29.037599328156034	1008.6766600132013	0.18258469443620262	0.0028556044730407943	0.002855604473040793	-51062.45592152362	0.0	78.96869599140462
4000	-27779.733684846262	83.7789696285084	-27863.51265447477	998.5327900476971	29.037454519522953	1009.3800300332709	0.15604928340188393	8.571740281604533E-4	8.57174028160454E-4	-27863.51265447477	0.0	76.36948492383057
5000	-21008.73653044773	105.52017528690932	-21114.256705734642	998.5736254472093	28.996619120010678	1007.1423339808928	0.10710244912261309	2.835225093448925E-4	2.835225093448925E-4	-21114.256705734642	0.0	96.60257268385303
6000	-18388.40787652084	41.03420693516889	-18429.442083456008	998.6519525108649	28.918292056355085	1016.9265935628193	0.17410195545357574	5.039960487346717E-5	5.0399604873467194E-5	-18429.442083456008	0.0	31.499676657703642
7000	-18045.21719319027	-75.90259967871704	-17969.314593511554	999.7619825055065	27.80826206171355	1078.7652658097888	0.8501430491374928	7.515430565639922E-6	7.5154305656399206E-6	-17969.314593511554	0.0	-84.87554031886705
8000	-18049.297373605976	-150.41954573120427	-17898.87782787477	999.7149594768777	27.855285090342363	1186.5301216599933	2.618199859872974	6.6087432974119305E-6	6.608743297411929E-6	-17898.87782787477	0.0	-158.37980506312658
9000	-18065.99900329831	-203.50293534166585	-17862.496067956647	999.5555048619976	28.014739705222382	1339.0819463427056	4.397978769792765	6.261978773182296E-6	6.261978773182294E-6	-17862.496067956647	0.0	-211.0314169653114
10000	-18073.47499963116	-241.0109984363462	-17832.46400119481	1000.9314845255853	26.63876004163467	1512.405071467214	9.053685285480872	6.787095261429316E-6	6.787095261429319E-6	-17832.46400119481	0.0	-247.8361687323219
11000	-18044.956476734784	-256.4751354877717	-17788.481341247014	1008.1666222030639	19.40362236415615	1622.7968412309124	9.325589505759144	5.361960447845032E-6	5.36196044784503E-6	-17788.481341247014	0.0	-263.4253506307707
12000	-18009.022132809627	-261.65937304026465	-17747.362759769363	1012.2682599893727	15.301984577847293	1660.2479392191883	10.49301114775918	5.188636526901641E-6	5.188636526901636E-6	-17747.362759769363	0.0	-268.51956516270155
13000	-18015.417005604908	-273.5031732557331	-17741.913832349175	1013.2411511399454	14.329093427274643	1759.6639603070196	12.301174022837754	4.541931312845522E-6	4.541931312845519E-6	-17741.913832349175	0.0	-280.30063952075375
14000	-17994.60997097705	-275.4663645694326	-17719.14360640762	1014.7495486838479	12.820695883372082	1737.1425797182058	12.820104613539648	4.530865810074056E-6	4.530865810074056E-6	-17719.14360640762	0.0	-282.217411432677
