"","Tip1","Tip2","TimeDiff","gens","snpsPerGen","snpDist"
"64","5417_318.922588101129","30048_1789.35325244822",1983.2559726242,84,0.166666666666667,14
"65","5417_318.922588101129","30384_1808.53604955359",2002.4387697296,62,0.17741935483871,11
"66","5417_318.922588101129","30443_1812.6053392085",2006.5080593845,75,0.146666666666667,11
"67","5417_318.922588101129","40643_2249.99997109367",2443.9026912696,96,0.125,12
"68","5417_318.922588101129","47615_2488.20977070541",2682.1124908814,93,0.150537634408603,14
"69","5417_318.922588101129","35595_2059.03964677196",2252.9423669479,73,0.136986301369863,9.99999999999999
"70","5417_318.922588101129","40139_2229.8863385747",2423.7890587506,97,0.144329896907217,14
"71","5417_318.922588101129","39841_2219.31996943168",2413.2226896076,90,0.155555555555556,14
"72","5417_318.922588101129","34992_2033.76036114304",2227.6630813189,79,0.126582278481013,9.99999999999999
"73","5417_318.922588101129","36281_2086.1095824782",2280.0123026542,82,0.134146341463415,11
"74","5417_318.922588101129","36710_2101.70543396644",2295.6081541425,85,0.117647058823529,9.99999999999999
"75","5417_318.922588101129","37149_2116.5918488227",2310.4945689987,103,0.0970873786407766,9.99999999999999
"76","5417_318.922588101129","39150_2193.57472782498",2387.477448001,92,0.130434782608696,12
"77","5417_318.922588101129","47107_2471.63675522313",2665.5394753991,103,0.126213592233009,13
"78","5417_318.922588101129","49303_2548.91549989577",2742.8182200717,100,0.13,13
"79","5417_318.922588101129","44553_2390.83369984847",2584.7364200244,107,0.130841121495327,14
"80","5417_318.922588101129","42707_2325.6667836667",2519.5695038427,98,0.132653061224489,13
"81","5417_318.922588101129","43058_2338.55483596806",2532.4575561441,102,0.137254901960785,14
"82","5417_318.922588101129","36643_2098.8782477524",2292.7809679284,93,0.139784946236559,13
"83","5417_318.922588101129","41508_2280.32249684808",2474.2252170241,106,0.113207547169811,12
"84","5417_318.922588101129","31579_1877.87914242466",2071.7818626006,83,0.108433734939759,9
"85","5417_318.922588101129","27645_1662.71231809136",1856.6150382674,64,0.140625,9
"86","5417_318.922588101129","26304_1581.17914628555",1775.0818664615,63,0.142857142857143,9
"87","5417_318.922588101129","25326_1515.95723421486",1709.8599543908,65,0.123076923076923,8
"88","5417_318.922588101129","20077_1187.71046451757",1381.6131846935,43,0.13953488372093,6
"89","5417_318.922588101129","20433_1212.14710630061",1406.0498264766,55,0.127272727272727,7
"90","5417_318.922588101129","17897_1020.73956334435",1214.6422835204,43,0.13953488372093,6
"91","5417_318.922588101129","21041_1253.79407712226",1447.6967972983,48,0.145833333333333,7
"92","5417_318.922588101129","20110_1189.33084252825",1383.2335627043,47,0.148936170212766,7
"93","5417_318.922588101129","18723_1082.17595315088",1276.0786733268,39,0.128205128205128,5
"94","5417_318.922588101129","18453_1062.10044625417",1256.0031664301,57,0.0877192982456141,5
"95","5417_318.922588101129","17954_1025.0050479992",1218.9077681753,41,0.146341463414634,6
"96","5417_318.922588101129","13374_759.07192635742",952.9746465334,28,0.142857142857143,4
"97","5417_318.922588101129","16385_922.613854410055",1116.516574586,37,0.189189189189189,7
"98","5417_318.922588101129","15582_872.112692461055",1066.015412637,43,0.116279069767442,5
"99","5417_318.922588101129","14901_838.948141291978",1032.850861468,33,0.181818181818182,6
"100","5417_318.922588101129","17321_980.733089292326",1174.6358094684,49,0.122448979591837,6
"101","5417_318.922588101129","12567_710.65326306051",904.5559832366,35,0.114285714285714,4
"102","5417_318.922588101129","12229_689.575005055015",883.477725231,32,0.15625,5
"103","5417_318.922588101129","10781_602.837954441496",796.7406746174,28,0.142857142857143,4
"104","5417_318.922588101129","9370_523.38300240199",717.2857225779,20,0.15,3
"105","5417_318.922588101129","6792_378.399166785269",572.3018869612,23,0.0869565217391306,2
"106","5417_318.922588101129","6698_375.125632674963",569.0283528511,23,0.0869565217391306,2
"107","5417_318.922588101129","8672_478.799979478442",672.7026996545,34,0.0882352941176471,3
"108","5417_318.922588101129","6464_364.280062752228",558.1827829283,22,0.0909090909090911,2
"109","5417_318.922588101129","18203_1042.42593176333",1236.3286519394,43,0.186046511627907,8
"110","5417_318.922588101129","16966_957.46636259894",1151.369082775,53,0.113207547169811,6
"111","5417_318.922588101129","13467_763.186323599439",957.0890437755,42,0.142857142857143,6
"112","5417_318.922588101129","13363_758.638014930574",952.5407351066,31,0.193548387096774,6
"113","5417_318.922588101129","9858_551.037756335665",744.9404765117,31,0.161290322580645,5
"114","5417_318.922588101129","7591_414.966338552314",608.8690587284,25,0.12,3
"115","5417_318.922588101129","13048_741.182094418766",935.0848145949,33,0.181818181818182,6
"116","5417_318.922588101129","12870_730.679329410663",924.5820495868,22,0.272727272727273,6
"117","5417_318.922588101129","15710_877.653253325447",1071.5559735016,40,0.175,7
"118","5417_318.922588101129","14206_801.801590804377",995.7043109805,39,0.205128205128205,8
"119","5417_318.922588101129","6353_359.520309913557",553.4230300896,22,0.181818181818182,4
"120","5417_318.922588101129","3834_235.593711850514",429.4964320266,17,0.11764705882353,2
"121","5417_318.922588101129","2208_134.423958179686",567.0572318134,23,0.0869565217391306,2
"122","5417_318.922588101129","3116_191.709174985875",624.3424486196,27,0.0740740740740742,2
"123","5417_318.922588101129","6356_359.55128188849",792.1845555222,26,0.192307692307692,5
"124","5417_318.922588101129","5602_328.933426730658",761.5667003644,19,0.315789473684211,6
"125","5417_318.922588101129","6666_373.668003084287",806.301276718,41,0.121951219512195,5
