# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Wed Jun 07 07:33:53 BST 2023 [seed=1234]
# -seed 1234 simsampledtips_perGen_24_2.08333333333333e-05_166_38.39.fasta.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-634023.0856355024	-2464.301321023688	-631558.7843144786	2404.6479616744555	126.70714981753463	2436.138001197106	1.0	1.0	1.0	-631558.7843144786	0.0	-31.490039522650164
1000	-550547.3762979858	-170.00938946781503	-550377.366908518	2404.354578910739	127.00053258125126	2422.9568373683965	0.5525335199238207	0.06750312095335738	0.0675031209533574	-550377.366908518	0.0	-11.71727992152778
2000	-326599.1359241655	-5.147269941764417	-326593.98865422374	2404.334345974052	127.02076551793789	2411.3107882810714	0.19193676976022372	0.015316591728316365	0.015316591728316365	-326593.98865422374	0.0	24.724196397155545
3000	-76166.87778208587	46.15963482202679	-76213.0374169079	2404.3213069899293	127.03380450206078	2408.609820156068	0.10634509625999801	0.0021076898865318196	0.002107689886531819	-76213.0374169079	0.0	42.59305257877788
4000	-32238.526400186733	59.56714571926457	-32298.093545906	2404.3164262588516	127.0386852331385	2407.656452035485	0.10785717124410273	5.021143269613277E-4	5.021143269613277E-4	-32298.093545906	0.0	51.4299361215077
5000	-27437.10290992217	59.51240740324812	-27496.615317325417	2404.313938874241	127.041172617749	2407.778396903243	0.08748328864384528	3.301057647582765E-4	3.3010576475827637E-4	-27496.615317325417	0.0	50.54200776949639
6000	-20982.99313316738	13.661313150571122	-20996.654446317953	2404.3962432945973	126.9588681973928	2415.08318292543	0.18129387716905115	9.558214424561287E-5	9.558214424561286E-5	-20996.654446317953	0.0	4.234374218631955
7000	-19272.621030176393	-46.577203080811714	-19226.043827095582	2404.4770274535044	126.87808403848567	2446.575538845406	0.53332642697865	2.9568988018081373E-5	2.9568988018081373E-5	-19226.043827095582	0.0	-55.676731501272045
8000	-18773.093118969588	-100.28574288856859	-18672.80737608102	2404.3363340938654	127.01877739812471	2626.4854852103754	3.7863420220231303	5.8974458966648685E-6	5.8974458966648685E-6	-18672.80737608102	0.0	-108.32368455915021
9000	-18634.20003644445	-157.35527731839835	-18476.844759126052	2405.7698962846935	125.58521520729664	3416.9229739528014	24.220506532347308	4.787112992823694E-6	4.7871129928236955E-6	-18476.844759126052	0.0	-163.7723949042018
10000	-18433.505120853002	-193.11952868960407	-18240.3855921634	2419.5038339795906	111.85127751239952	4763.873160414556	73.76959792773404	3.0550918723417354E-6	3.0550918723417375E-6	-18240.3855921634	0.0	-198.81542158125276
11000	-18309.511130768533	-213.1057021681762	-18096.405428600356	2422.0795955239264	109.2755159680637	5737.426140085805	112.42056187003897	1.8136648855439752E-6	1.8136648855439755E-6	-18096.405428600356	0.0	-218.73814807256454
12000	-18239.332237243874	-227.59279366709546	-18011.73944357678	2478.4724526536247	52.88265883836539	7020.946903573318	198.0746479750935	1.2560133840023947E-6	1.2560133840023952E-6	-18011.73944357678	0.0	-232.94507695548023
13000	-18175.3426868376	-232.18945191861772	-17943.153234918984	2605.1800820245194	-73.82497053252928	7508.992889384867	248.69348762441518	1.354080861058171E-6	1.3540808610581708E-6	-17943.153234918984	0.0	-237.30882017648753
14000	-18136.12540611033	-256.6412535970985	-17879.48415251323	2768.36591928683	-237.01080779483982	10110.403175387055	484.81873189833897	8.559206794061206E-7	8.559206794061204E-7	-17879.48415251323	0.0	-261.4726640383338
15000	-18105.69855816532	-260.6048317240104	-17845.09372644131	2679.4381213431648	-148.08300985117467	10439.374746754822	479.5624868056629	7.987632404356261E-7	7.987632404356259E-7	-17845.09372644131	0.0	-265.49802460208724
16000	-18064.86094931908	-261.87874233150967	-17802.982206987574	2670.291817920701	-138.93670642871075	10558.349647671528	517.2312829228812	9.082156000880567E-7	9.082156000880563E-7	-17802.982206987574	0.0	-266.6365261521007
17000	-18065.272682218045	-258.3517339613785	-17806.920948256666	2761.5190578645365	-230.16394637254643	10360.910763425409	435.2039445236153	9.314881394983196E-7	9.314881394983194E-7	-17806.920948256666	0.0	-263.26004209534716
18000	-18054.718931799194	-265.6570923739098	-17789.061839425285	2829.0785267919737	-297.72341529998357	11422.025523710276	537.4900037373358	6.83655572522704E-7	6.83655572522704E-7	-17789.061839425285	0.0	-270.55956375192744
19000	-18025.35683334403	-267.17843320890375	-17758.178400135126	2762.607972735878	-231.25286124388776	11053.298381168253	772.0598871511196	8.550637357292695E-7	8.550637357292697E-7	-17758.178400135126	0.0	-271.5888418625947
20000	-18030.024193649817	-263.67157244585553	-17766.35262120396	2823.87093989174	-292.5158283997498	10797.015576275402	517.24960142774	8.099639806085708E-7	8.099639806085713E-7	-17766.35262120396	0.0	-268.49858731218546
21000	-18027.27157176391	-268.1452150347369	-17759.126356729175	2661.9230215715575	-130.56791007956735	11159.8428018586	572.6395516203077	8.149700334734331E-7	8.149700334734328E-7	-17759.126356729175	0.0	-272.8835945119017
22000	-18027.620685703485	-265.2981310697213	-17762.322554633764	2917.8150460459256	-386.45993455393545	11355.57154964068	542.8741774719847	7.80067044930246E-7	7.800670449302458E-7	-17762.322554633764	0.0	-270.1207053208514
23000	-18025.73490899311	-267.5492446185146	-17758.185664374592	3069.6111511596273	-538.2560396676372	12141.052011321288	584.3349508480047	7.211781196641144E-7	7.211781196641145E-7	-17758.185664374592	0.0	-272.37101315132594
24000	-18029.544578330835	-262.47897479457646	-17767.06560353626	3028.894111112466	-497.5389996204758	11388.477730497652	517.3602424862167	7.425966406247491E-7	7.425966406247486E-7	-17767.06560353626	0.0	-267.3761484889585
