"","Method","PercentSampled","EquivalentPerGenRate","R_Squared"
"336","Clock Rate",0.1,1.5,0.899500467150291
"337","Clock Rate",0.1,3,0.962077279449452
"338","Generation",0.1,0.15,0.198207078586686
"339","Clock Rate",0.1,0.1,0.289477549872255
"340","Clock Rate",0.1,0.2,0.376409028689524
"341","Clock Rate",0.1,0.5,0.856791761462772
"342","Clock Rate",0.1,1,0.911022060758268
"343","Clock Rate",0.1,2,0.961008909710964
"344","Clock Rate",0.1,0.05,0.298303577103047
"345","Clock Rate",0.1,0.15,0.739566052273665
"346","Clock Rate",0.1,0.25,0.790155485740031
"347","Clock Rate",0.1,0.75,0.699883538186472
"348","Clock Rate",0.1,1.5,0.899500467150291
"349","Clock Rate",0.1,3,0.962077279449452
"350","Generation",0.1,0.25,0.693743572069174
"351","Clock Rate",0.1,0.1,0.289477549872255
"352","Clock Rate",0.1,0.2,0.376409028689524
"353","Clock Rate",0.1,0.5,0.856791761462772
"354","Clock Rate",0.1,1,0.911022060758268
"355","Clock Rate",0.1,2,0.961008909710964
"356","Clock Rate",0.1,0.05,0.298303577103047
"357","Clock Rate",0.1,0.15,0.739566052273665
"358","Clock Rate",0.1,0.25,0.790155485740031
"359","Clock Rate",0.1,0.75,0.699883538186472
"360","Clock Rate",0.1,1.5,0.899500467150291
"361","Clock Rate",0.1,3,0.962077279449452
"362","Generation",0.1,0.75,0.758597849681839
"363","Clock Rate",0.1,0.1,0.289477549872255
"364","Clock Rate",0.1,0.2,0.376409028689524
"365","Clock Rate",0.1,0.5,0.856791761462772
"366","Clock Rate",0.1,1,0.911022060758268
"367","Clock Rate",0.1,2,0.961008909710964
"368","Clock Rate",0.1,0.05,0.298303577103047
"369","Clock Rate",0.1,0.15,0.739566052273665
"370","Clock Rate",0.1,0.25,0.790155485740031
"371","Clock Rate",0.1,0.75,0.699883538186472
"372","Clock Rate",0.1,1.5,0.899500467150291
"373","Clock Rate",0.1,3,0.962077279449452
"374","Generation",0.1,1.5,0.926806079207
"375","Clock Rate",0.1,0.1,0.289477549872255
"376","Clock Rate",0.1,0.2,0.376409028689524
"377","Clock Rate",0.1,0.5,0.856791761462772
"378","Clock Rate",0.1,1,0.911022060758268
"379","Clock Rate",0.1,2,0.961008909710964
"380","Clock Rate",0.1,0.05,0.298303577103047
"381","Clock Rate",0.1,0.15,0.739566052273665
"382","Clock Rate",0.1,0.25,0.790155485740031
"383","Clock Rate",0.1,0.75,0.699883538186472
"384","Clock Rate",0.1,1.5,0.899500467150291
"385","Clock Rate",0.1,3,0.962077279449452
"386","Generation",0.1,3,0.873356178758348
"387","Clock Rate",0.1,0.1,0.289477549872255
"388","Clock Rate",0.1,0.2,0.376409028689524
"389","Clock Rate",0.1,0.5,0.856791761462772
"390","Clock Rate",0.1,1,0.911022060758268
"391","Clock Rate",0.1,2,0.961008909710964
"392","Clock Rate",0.1,0.05,0.298303577103047
"393","Clock Rate",0.1,0.15,0.739566052273665
"394","Clock Rate",0.1,0.25,0.790155485740031
"395","Clock Rate",0.1,0.75,0.699883538186472
"396","Clock Rate",0.1,1.5,0.899500467150291
"397","Clock Rate",0.1,3,0.962077279449452
"398","Generation",0.2,0.1,0.497417711232172
"399","Clock Rate",0.2,0.1,0.202311638885568
"400","Clock Rate",0.2,0.2,0.435126292167821
"401","Clock Rate",0.2,0.5,0.827250162107184
"402","Clock Rate",0.2,1,0.88807313899033
"403","Clock Rate",0.2,2,0.953903721531978
"404","Clock Rate",0.2,0.05,0.327326945518796
"405","Clock Rate",0.2,0.15,0.749862131912468
"406","Clock Rate",0.2,0.25,0.777137058767411
"407","Clock Rate",0.2,0.75,0.734203824931479
"408","Clock Rate",0.2,1.5,0.940784913877296
"409","Clock Rate",0.2,3,0.960854987516671
"410","Generation",0.2,0.2,0.585677312321857
"411","Clock Rate",0.2,0.1,0.202311638885568
"412","Clock Rate",0.2,0.2,0.435126292167821
"413","Clock Rate",0.2,0.5,0.827250162107184
"414","Clock Rate",0.2,1,0.88807313899033
"415","Clock Rate",0.2,2,0.953903721531978
"416","Clock Rate",0.2,0.05,0.327326945518796
"417","Clock Rate",0.2,0.15,0.749862131912468
"418","Clock Rate",0.2,0.25,0.777137058767411
"419","Clock Rate",0.2,0.75,0.734203824931479
"420","Clock Rate",0.2,1.5,0.940784913877296
