"","Method","PercentSampled","EquivalentPerGenRate","R_Squared"
"133","Clock Rate",0.05,3,0.988549377120136
"134","Generation",0.1,0.1,0.365251727806209
"135","Generation",0.1,0.2,0.656084801912203
"136","Generation",0.1,0.5,0.61183644285244
"137","Generation",0.1,1,0.838521612705955
"138","Generation",0.1,2,0.947880111906144
"139","Generation",0.1,0.05,0.306897784669195
"140","Generation",0.1,0.15,0.614878263124276
"141","Generation",0.1,0.25,0.681619655613936
"142","Generation",0.1,0.75,0.834864375716215
"143","Generation",0.1,1.5,0.757647157132067
"144","Generation",0.1,3,0.938540640750806
"145","Clock Rate",0.1,0.1,0.721297388786082
"146","Clock Rate",0.1,0.2,0.802173939619633
"147","Clock Rate",0.1,0.5,0.907004182155635
"148","Clock Rate",0.1,1,0.89445179575705
"149","Clock Rate",0.1,2,0.965770574399482
"150","Clock Rate",0.1,0.05,0.398834323684136
"151","Clock Rate",0.1,0.15,0.251930594607972
"152","Clock Rate",0.1,0.25,0.876661664285097
"153","Clock Rate",0.1,0.75,0.934604252315594
"154","Clock Rate",0.1,1.5,0.970261387209313
"155","Clock Rate",0.1,3,0.981819183119067
"156","Generation",0.2,0.1,0.433224247986257
"157","Generation",0.2,0.2,0.697944546530737
"158","Generation",0.2,0.5,0.576358781251761
"159","Generation",0.2,1,0.834120627850203
"160","Generation",0.2,2,0.910818680725747
"161","Generation",0.2,0.05,0.31232227148082
"162","Generation",0.2,0.15,0.529417538407211
"163","Generation",0.2,0.25,0.530914432633633
"164","Generation",0.2,0.75,0.779700096515956
"165","Generation",0.2,1.5,0.778429645444579
"166","Generation",0.2,3,0.907059127945533
"167","Clock Rate",0.2,0.1,0.677696222390655
"168","Clock Rate",0.2,0.2,0.77127304030237
"169","Clock Rate",0.2,0.5,0.907382456659315
"170","Clock Rate",0.2,1,0.883025870300917
"171","Clock Rate",0.2,2,0.965352642510886
"172","Clock Rate",0.2,0.05,0.261424795936417
"173","Clock Rate",0.2,0.15,0.0685455727344192
"174","Clock Rate",0.2,0.25,0.896114479198352
"175","Clock Rate",0.2,0.75,0.932755917369799
"176","Clock Rate",0.2,1.5,0.973542007947298
"177","Clock Rate",0.2,3,0.980589252346472
"178","Generation",0.01,0.1,0.54554218068819
"179","Generation",0.01,0.2,0.694737931032193
"180","Generation",0.01,0.5,0.664880145536912
"181","Generation",0.01,1,0.926572873048975
"182","Generation",0.01,2,0.91091502098683
"183","Generation",0.01,0.05,0.368357659217483
"184","Generation",0.01,0.15,0.629880936952615
"185","Generation",0.01,0.25,0.773556744634885
"186","Generation",0.01,0.75,0.960543294702897
"187","Generation",0.01,1.5,0.877712012764155
"188","Generation",0.01,3,0.955681663019837
"189","Clock Rate",0.01,0.1,0.771900716418225
"190","Clock Rate",0.01,0.2,0.570245215152733
"191","Clock Rate",0.01,0.5,0.796106235534005
"192","Clock Rate",0.01,1,0.961662279414646
"193","Clock Rate",0.01,2,0.966388728265476
"194","Clock Rate",0.01,0.05,0.717613999155939
"195","Clock Rate",0.01,0.15,0.650412324931001
"196","Clock Rate",0.01,0.25,0.791925064500718
"197","Clock Rate",0.01,0.75,0.973114641852321
"198","Clock Rate",0.01,1.5,0.964031828173199
"199","Clock Rate",0.01,3,0.977934265187333
"200","Generation",0.05,0.1,0.519404956655662
"201","Generation",0.05,0.2,0.691218929382281
"202","Generation",0.05,0.5,0.696368225690138
"203","Generation",0.05,1,0.928517673667102
"204","Generation",0.05,2,0.883494551633705
"205","Generation",0.05,0.05,0.375327789502981
"206","Generation",0.05,0.15,0.644001636782939
"207","Generation",0.05,0.25,0.786226078444071
"208","Generation",0.05,0.75,0.951145062229433
"209","Generation",0.05,1.5,0.836475630269284
"210","Generation",0.05,3,0.951020592107983
"211","Clock Rate",0.05,0.1,0.739450073096451
"212","Clock Rate",0.05,0.2,0.46981541280705
"213","Clock Rate",0.05,0.5,0.775136454981387
"214","Clock Rate",0.05,1,0.958372138965654
"215","Clock Rate",0.05,2,0.965181871962391
"216","Clock Rate",0.05,0.05,0.719835151002221
"217","Clock Rate",0.05,0.15,0.597576510618989
"218","Clock Rate",0.05,0.25,0.818700797702157
"219","Clock Rate",0.05,0.75,0.96658540534054
"220","Clock Rate",0.05,1.5,0.962550334963206
"221","Clock Rate",0.05,3,0.979463441823698
"222","Generation",0.1,0.1,0.526568359731315
"223","Generation",0.1,0.2,0.715842463930787
"224","Generation",0.1,0.5,0.728555608386964
"225","Generation",0.1,1,0.925919449350566
"226","Generation",0.1,2,0.893210695389471
"227","Generation",0.1,0.05,0.416764770326486
"228","Generation",0.1,0.15,0.663872752011487
"229","Generation",0.1,0.25,0.784945867906923
"230","Generation",0.1,0.75,0.949499384525908
"231","Generation",0.1,1.5,0.870193154579643
"232","Generation",0.1,3,0.951586578679046
"233","Clock Rate",0.1,0.1,0.743830877335119
"234","Clock Rate",0.1,0.2,0.475229269195678
"235","Clock Rate",0.1,0.5,0.772396324779888
"236","Clock Rate",0.1,1,0.96204327734383
"237","Clock Rate",0.1,2,0.966674290119948
"238","Clock Rate",0.1,0.05,0.746437672362549
"239","Clock Rate",0.1,0.15,0.59449999874213
"240","Clock Rate",0.1,0.25,0.818464167467582
"241","Clock Rate",0.1,0.75,0.96600432224426
"242","Clock Rate",0.1,1.5,0.961502501455915
"243","Clock Rate",0.1,3,0.981558813487686
"244","Generation",0.2,0.1,0.521896436276248
"245","Generation",0.2,0.2,0.707279504287274
"246","Generation",0.2,0.5,0.711298754171888
