# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Wed Jun 07 07:59:12 BST 2023 [seed=1234]
# -seed 1234 simsampledtips_perGen_24_2.08333333333333e-05_166_767.8.fasta.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-1.1150654855994847E7	-4022.3864450912147	-1.1146632469549755E7	2538.865081266525	10.580080105544766	3232.894440436124	1.0	1.0	1.0	-1.1146632469549755E7	0.0	-792.9602062754489
1000	-8031897.439813016	-1911.39300702078	-8029986.0468059955	2538.613947943926	10.831213428143656	3182.944433528304	0.9758534752316811	0.3725902585745618	0.37259025857456163	-8029986.0468059955	0.0	-729.4374143605098
2000	-2159027.6682783165	-850.8364226554067	-2158176.8318556612	2538.1994439666573	11.245717405412506	3129.520443018626	0.8911940341807943	0.06168821797921551	0.061688217979215525	-2158176.8318556612	0.0	-662.7418602479144
3000	-467788.23699943686	-631.8607471949792	-467156.3762522419	2538.1156955045326	11.329465867537238	3085.1414250851094	0.749989291270956	0.011674740936978772	0.011674740936978753	-467156.3762522419	0.0	-601.8001919327791
4000	-222542.208497874	-544.6413698142375	-221997.56712805977	2538.094888687281	11.350272684788706	3046.7981750013573	0.7116718214817148	0.004873367366346791	0.004873367366346793	-221997.56712805977	0.0	-536.2338848068131
5000	-88157.92075988693	-489.7579189890595	-87668.16284089787	2538.1184048329355	11.326756539134294	3021.322115757052	0.7081537824247358	0.0010192681323302163	0.001019268132330215	-87668.16284089787	0.0	-493.9021708120051
6000	-65077.13440341149	-562.1895638254431	-64514.944839586045	2538.134057776941	11.31110359512877	3060.082869282942	0.8086322361229717	2.609713158486151E-4	2.6097131584861493E-4	-64514.944839586045	0.0	-569.1696647523534
7000	-61893.4796111668	-748.3893401787969	-61145.090270988	2538.1308452347575	11.31431613731229	3198.4094875324195	1.0141703977737173	1.0562742503398678E-4	1.0562742503398671E-4	-61145.090270988	0.0	-756.0780652631818
8000	-60967.185340285694	-880.733399906039	-60086.45194037966	2538.0926561901556	11.352505181914239	3314.6951389053643	1.1118802698684562	1.0043815989576116E-4	1.0043815989576112E-4	-60086.45194037966	0.0	-888.3781052029757
9000	-60086.68474681456	-977.5960976157187	-59109.088649198835	2538.0980545913344	11.34710678073543	3416.222201890465	1.3475373495157628	9.560291165341866E-5	9.560291165341862E-5	-59109.088649198835	0.0	-985.0946520833601
10000	-59218.84865041994	-1072.3730230276826	-58146.475627392254	2538.1121907869037	11.332970585166095	3504.8767604759937	1.4558557757388484	9.308731018616477E-5	9.308731018616468E-5	-58146.475627392254	0.0	-1079.8207463067622
11000	-58440.16401610011	-1166.9123411999778	-57273.25167490014	2538.106158548599	11.339002823470764	3628.259545593747	1.6504291709179533	9.104102598264508E-5	9.10410259826452E-5	-57273.25167490014	0.0	-1174.258974760986
12000	-57709.61215952674	-1253.5835393572625	-56456.028620169476	2538.1054942247897	11.339667147280124	3748.864809246935	1.9153202922915178	8.289872900182586E-5	8.289872900182595E-5	-56456.028620169476	0.0	-1260.8640630149775
13000	-56994.69935742627	-1338.1461582687825	-55656.55319915748	2538.157663967968	11.287497404101941	3864.7329712404653	2.157710314039283	8.050731898144226E-5	8.050731898144227E-5	-55656.55319915748	0.0	-1345.3370115802857
14000	-56165.218129977104	-1403.3005389241262	-54761.91759105298	2538.181984913004	11.263176459066017	3960.1612927979636	2.3823208749475255	7.614424030823347E-5	7.614424030823339E-5	-54761.91759105298	0.0	-1410.4420159137787
15000	-55609.869691878346	-1471.3794782511688	-54138.49021362718	2538.255621798529	11.18953957354097	4064.41101749665	2.558721793994001	7.486112708905726E-5	7.486112708905728E-5	-54138.49021362718	0.0	-1478.468289043944
16000	-55099.5189751821	-1536.0244082951863	-53563.49456688692	2538.136031048373	11.30913032369699	4162.9541442918	2.870852684212251	7.262780523835121E-5	7.262780523835116E-5	-53563.49456688692	0.0	-1543.0271595159381
17000	-54625.28581055967	-1579.9419937279363	-53045.34381683173	2538.1788415916108	11.266319780459071	4241.450729190288	2.826904195878091	6.88493728060795E-5	6.884937280607943E-5	-53045.34381683173	0.0	-1587.0065504159725
18000	-53907.21272023162	-1688.659443580707	-52218.55327665091	2538.2077994142146	11.237361957855228	4457.356444268036	3.3870009611553944	6.183063788615637E-5	6.183063788615626E-5	-52218.55327665091	0.0	-1695.638243938672
19000	-53670.05489442729	-1715.374868362207	-51954.68002606508	2539.1094501970265	10.335711175043343	4515.823258399098	3.4819445187932923	6.12134184395011E-5	6.121341843950101E-5	-51954.68002606508	0.0	-1722.3367269954156
20000	-53383.20659987588	-1749.5079691250862	-51633.69863075079	2539.0268019033583	10.418359468711515	4584.377971639215	3.5006124151664233	6.000399682037106E-5	6.000399682037124E-5	-51633.69863075079	0.0	-1756.4833397989025
21000	-53129.82681275549	-1784.1224645130749	-51345.70434824242	2538.5231972102174	10.92196416185243	4642.0845086735335	3.6838138576551627	6.013340777490458E-5	6.013340777490478E-5	-51345.70434824242	0.0	-1791.047938516077
22000	-52955.324229442194	-1811.0754216371479	-51144.248807805045	2538.472643836138	10.972517535931729	4704.177878294253	3.856954519390648	5.720908041976285E-5	5.720908041976277E-5	-51144.248807805045	0.0	-1817.9965592295887
23000	-52520.70263574716	-1844.8054362338064	-50675.897199513354	2538.4293617855765	11.015799586493358	4782.708546501728	4.075384062924233	5.708496350005029E-5	5.708496350005012E-5	-50675.897199513354	0.0	-1851.6769516166446
24000	-52255.67307238771	-1858.1672404863725	-50397.50583190134	2539.0770557885435	10.368105583526358	4811.614917395998	4.254882150556214	5.708496350005029E-5	5.708496350005034E-5	-50397.50583190134	0.0	-1864.9970165469006
25000	-51790.033114384714	-1888.7872910512767	-49901.24582333344	2538.4691183190744	10.976043052995465	4864.657406866192	4.350761809523057	5.5170929270922665E-5	5.517092927092256E-5	-49901.24582333344	0.0	-1895.62360045986
26000	-51570.48609971903	-1917.413987409177	-49653.072112309856	2538.8082972902585	10.636864081811382	4939.82109387795	4.404964430767537	5.264505904747614E-5	5.264505904747621E-5	-49653.072112309856	0.0	-1924.2773443898532
27000	-51420.33954639371	-1942.743540417345	-49477.59600597637	2538.897580443303	10.54758092876682	4997.55612946793	4.710213388447654	5.264505904747614E-5	5.264505904747622E-5	-49477.59600597637	0.0	-1949.5426668579278
28000	-51002.905722532916	-1975.5287524395571	-49027.376970093355	2538.3992079643867	11.0459534076831	5084.674299675269	4.819816795842599	5.070706791044756E-5	5.070706791044758E-5	-49027.376970093355	0.0	-1982.3375384063493
29000	-50790.859213046715	-2023.1190912940451	-48767.74012175267	2539.023538262381	10.42162310968888	5179.860462219421	5.4296423291034355	4.758325774419902E-5	4.7583257744199046E-5	-48767.74012175267	0.0	-2029.8611599451901
30000	-50646.33642078925	-2051.1660769631067	-48595.17034382615	2538.4350588210627	11.010102551007094	5234.385135216007	5.512593120632537	4.967740552047484E-5	4.96774055204748E-5	-48595.17034382615	0.0	-2057.863128718544
31000	-50534.52766977842	-2069.2776092267745	-48465.25006055165	2538.329338054292	11.115823317777995	5295.687248890003	5.251530125914664	4.7614114770012946E-5	4.761411477001286E-5	-48465.25006055165	0.0	-2076.058090013492
32000	-50277.249177222424	-2088.945310815173	-48188.30386640725	2538.9323229432416	10.512838428828218	5348.7196167837765	5.919781253088731	4.6707317015342774E-5	4.670731701534284E-5	-48188.30386640725	0.0	-2095.622933137557
33000	-50013.376350600825	-2127.481147860686	-47885.89520274014	2539.3145170878734	10.130644284196478	5459.6709058519245	5.516079404093372	4.492817633140836E-5	4.4928176331408216E-5	-47885.89520274014	0.0	-2134.2636171145855
34000	-49777.87220310639	-2150.086838643884	-47627.78536446251	2539.820400929743	9.624760442326988	5526.4338295971365	6.059189440915213	4.363365613808886E-5	4.363365613808876E-5	-47627.78536446251	0.0	-2156.800249044573
35000	-49633.77922513088	-2178.441872864709	-47455.33735226617	2538.8025891647103	10.642572207359535	5585.106365144597	6.524404858859299	4.430654114480002E-5	4.4306541144800044E-5	-47455.33735226617	0.0	-2185.0726199332935
36000	-49483.039244527994	-2198.812531269056	-47284.22671325894	2538.8194735440484	10.625687828021455	5636.020775774274	6.133127225168994	4.3829076606500735E-5	4.3829076606500796E-5	-47284.22671325894	0.0	-2205.515513304336
37000	-49447.975117608454	-2216.1437912311826	-47231.83132637727	2539.026508811017	10.418652561053023	5707.0734478564755	6.368783735709039	4.3829076606500735E-5	4.382907660650078E-5	-47231.83132637727	0.0	-2222.812219389683
38000	-48922.06504453258	-2225.5793065129296	-46696.48573801965	2539.500103995277	9.945057376792647	5721.25215872176	7.212153192174375	4.192052406141865E-5	4.192052406141872E-5	-46696.48573801965	0.0	-2232.1571751277547
39000	-48518.073310810694	-2237.824378284544	-46280.24893252615	2539.922128786156	9.523032585913825	5763.6770636581605	7.007031176531734	3.975789868266751E-5	3.97578986826675E-5	-46280.24893252615	0.0	-2244.471964032537
40000	-48132.89654144772	-2259.4225550307174	-45873.473986417004	2540.5848845351566	8.860276836913272	5840.627971982674	7.327938617123954	3.877337230753274E-5	3.8773372307532714E-5	-45873.473986417004	0.0	-2266.047220207662
