"","Tip1","Tip2","TimeDiff","gens","snpsPerGen","snpDist"
"63","37244_2119.73941351427","39015_2189.07847807601",1403.4679789606,50,0.12,6
"64","37244_2119.73941351427","37760_2140.53143237702",1354.9209332616,61,0.0983606557377049,6
"65","37244_2119.73941351427","37870_2145.2321480175",1359.6216489022,41,0.195121951219512,8
"66","37244_2119.73941351427","40019_2226.10570712281",1440.4952080075,68,0.117647058823529,8
"67","37244_2119.73941351427","35965_2073.07478728074",1287.4642881654,41,0.146341463414634,6
"68","37244_2119.73941351427","44704_2396.7082271794",2872.5459834174,113,0.115044247787611,13
"69","37244_2119.73941351427","44111_2374.96035559624",2850.7981118343,122,0.0983606557377049,12
"70","37244_2119.73941351427","45665_2427.10117852306",2902.9389347611,111,0.108108108108108,12
"71","37244_2119.73941351427","45132_2410.40712278005",2886.2448790181,129,0.0930232558139535,12
"72","37244_2119.73941351427","45608_2425.2800804456",2901.1178366836,110,0.109090909090909,12
"73","37244_2119.73941351427","46989_2468.17152698057",2944.0092832186,107,0.11214953271028,12
"74","37244_2119.73941351427","47547_2485.4522988203",2961.2900550583,99,0.131313131313131,13
"75","37244_2119.73941351427","46338_2447.38858936824",2923.2263456063,113,0.106194690265487,12
"76","37244_2119.73941351427","47523_2484.98526624003",2960.823022478,113,0.106194690265487,12
"77","37244_2119.73941351427","47546_2485.4522988203",2961.2900550583,107,0.11214953271028,12
"78","37244_2119.73941351427","46995_2468.17152698057",2944.0092832186,110,0.109090909090909,12
"79","37244_2119.73941351427","47204_2474.40401196059",2950.2417681986,128,0.09375,12
"80","37244_2119.73941351427","47995_2501.7550794017",2977.5928356397,115,0.104347826086957,12
"81","37244_2119.73941351427","46670_2456.99141219886",2932.8291684369,97,0.123711340206186,12
"82","37244_2119.73941351427","48081_2504.7305655308",2980.5683217688,99,0.131313131313131,13
"83","37244_2119.73941351427","49002_2537.32417839124",3013.1619346293,106,0.122641509433962,13
"84","37244_2119.73941351427","47615_2488.20977070541",2964.0475269434,110,0.109090909090909,12
"85","37244_2119.73941351427","45336_2417.03284824881",2892.8706044869,101,0.118811881188119,12
"86","37244_2119.73941351427","47994_2501.7550794017",2977.5928356397,128,0.109375,14
"87","37244_2119.73941351427","41900_2295.34183670173",2771.1795929397,90,0.133333333333333,12
"88","37244_2119.73941351427","40797_2254.99157512844",2730.8293313665,117,0.102564102564103,12
"89","37244_2119.73941351427","41765_2289.53335444437",2765.3711106824,112,0.107142857142857,12
"90","37244_2119.73941351427","38690_2177.19693200358",2653.0346882416,98,0.122448979591837,12
"91","37244_2119.73941351427","38303_2162.21955182523",2638.0573080633,111,0.108108108108108,12
"92","37244_2119.73941351427","38131_2155.7688515802",2631.6066078182,105,0.114285714285714,12
"93","37244_2119.73941351427","38130_2155.7688515802",2631.6066078182,104,0.115384615384615,12
"94","37244_2119.73941351427","35874_2068.95948013409",2544.7972363721,91,0.131868131868132,12
"95","37244_2119.73941351427","36749_2103.18549432921",2579.0232505672,112,0.116071428571429,13
"96","37244_2119.73941351427","36280_2086.1095824782",2561.9473387162,99,0.141414141414141,14
"97","37244_2119.73941351427","35758_2065.00399875399",2540.8417549921,99,0.121212121212121,12
"98","37244_2119.73941351427","35893_2069.70677146791",2545.5445277059,89,0.134831460674157,12
"99","37244_2119.73941351427","35461_2053.74385095814",2529.5816071961,106,0.113207547169811,12
"100","37244_2119.73941351427","35590_2059.03964677196",2534.87740301,91,0.142857142857143,13
"101","37244_2119.73941351427","37157_2117.43061600396",2593.2683722419,104,0.144230769230769,15
"102","37244_2119.73941351427","37159_2117.43061600396",2593.2683722419,82,0.182926829268293,15
"103","37244_2119.73941351427","39044_2190.17771623257",2666.0154724705,84,0.178571428571429,15
"104","37244_2119.73941351427","39967_2224.3500206104",2700.1877768484,104,0.144230769230769,15
"105","37244_2119.73941351427","40138_2229.8863385747",2705.7240948127,90,0.188888888888889,17
"106","37244_2119.73941351427","39968_2224.3500206104",2700.1877768484,97,0.164948453608247,16
"107","37244_2119.73941351427","39535_2206.78744898039",2682.6252052184,107,0.158878504672897,17
"108","37244_2119.73941351427","39513_2205.91040032987",2681.7481565678,82,0.146341463414634,12
"109","37244_2119.73941351427","39741_2215.29025485837",2691.1280110963,85,0.141176470588235,12
"110","37244_2119.73941351427","39517_2205.91040032987",2681.7481565679,110,0.109090909090909,12
"111","37244_2119.73941351427","43029_2337.69880949543",2813.5365657335,108,0.111111111111111,12
"112","37244_2119.73941351427","46051_2439.02598262757",2914.8637388656,111,0.126126126126126,14
"113","37244_2119.73941351427","43291_2346.78846027731",2822.6262165154,109,0.110091743119266,12
"114","37244_2119.73941351427","39518_2205.91040032987",2681.7481565679,86,0.13953488372093,12
"115","37244_2119.73941351427","39148_2193.57472782498",2669.4124840631,117,0.111111111111111,13
"116","37244_2119.73941351427","37393_2126.20321831696",2602.0409745551,84,0.130952380952381,11
"117","37244_2119.73941351427","47664_2490.38934106348",2966.2270973014,103,0.135922330097087,14
"118","37244_2119.73941351427","47273_2476.49086427515",2952.3286205131,118,0.11864406779661,14
"119","37244_2119.73941351427","48184_2508.85516292338",2984.6929191614,106,0.150943396226415,16
"120","37244_2119.73941351427","45822_2431.67059678621",2907.5083530242,91,0.153846153846154,14
"121","37244_2119.73941351427","45288_2415.17104493238",2891.0088011704,94,0.148936170212766,14
"122","37244_2119.73941351427","43280_2346.1634623787",2822.0012186167,118,0.11864406779661,14
"123","37244_2119.73941351427","43281_2346.1634623787",2822.0012186167,115,0.121739130434783,14
"124","37244_2119.73941351427","43279_2346.1634623787",2822.0012186167,123,0.113821138211382,14
"125","37244_2119.73941351427","42162_2305.79891868687",2781.6366749248,113,0.123893805309735,14
"126","37244_2119.73941351427","42294_2311.41576793953",2787.2535241775,117,0.111111111111111,13
"127","37244_2119.73941351427","41771_2289.80081328725",2765.6385695252,113,0.115044247787611,13
"128","37244_2119.73941351427","42144_2304.9903829258",2780.8281391638,109,0.110091743119266,12
"129","37244_2119.73941351427","39852_2219.62724842252",2695.4650046605,114,0.105263157894737,12
"130","37244_2119.73941351427","40260_2234.41969848214",2710.2574547202,101,0.108910891089109,11
"131","37244_2119.73941351427","41477_2279.10998056597",2754.947736804,90,0.133333333333333,12
"132","37244_2119.73941351427","44544_2390.48370015721",2866.3214563953,97,0.123711340206186,12
"133","37244_2119.73941351427","44335_2383.47766728074",2859.3154235188,105,0.114285714285714,12
"134","37244_2119.73941351427","48377_2515.79570076425",2991.6334570024,120,0.116666666666667,14
"135","37244_2119.73941351427","47109_2471.63675522313",2947.4745114613,105,0.114285714285714,12
"136","37244_2119.73941351427","48099_2505.49528062508",2981.3330368632,100,0.12,12
"137","37244_2119.73941351427","46365_2448.42950579759",2924.2672620357,103,0.116504854368932,12
"138","37244_2119.73941351427","47644_2489.20119467866",2965.0389509167,107,0.11214953271028,12
"139","37244_2119.73941351427","45857_2432.81618439547",2908.6539406336,128,0.109375,14
"140","37244_2119.73941351427","42565_2320.13789012732",2795.9756463654,90,0.133333333333333,12
"141","37244_2119.73941351427","42456_2316.97176740124",2792.8095236393,112,0.0982142857142857,11
"142","37244_2119.73941351427","40425_2240.17482360508",2716.0125798432,88,0.125,11
"143","37244_2119.73941351427","39340_2199.24244598974",2675.0802022279,86,0.127906976744186,11
"144","37244_2119.73941351427","39343_2199.24244598974",2675.0802022278,87,0.126436781609195,11
"145","37244_2119.73941351427","38584_2173.277411568",2649.115167806,108,0.101851851851852,11
"146","37244_2119.73941351427","39688_2212.81812190804",2688.6558781461,116,0.0948275862068965,11
"147","37244_2119.73941351427","36310_2087.60628649605",2563.444042734,95,0.115789473684211,11
"148","37244_2119.73941351427","35998_2075.20569883268",2551.0434550707,88,0.125,11
"149","37244_2119.73941351427","35530_2056.7632807308",2532.6010369688,107,0.102803738317757,11
"150","37942_2148.91084162002","48017_2502.58451272461",458.6523199266,15,0.333333333333333,5
"151","37942_2148.91084162002","47228_2475.266893833",431.334701035,14,0.357142857142857,5
"152","37942_2148.91084162002","45536_2423.6517708182",379.7195780202,8,0.5,4
"153","37942_2148.91084162002","46269_2444.76903027884",400.8368374808,10,0.3,3
"154","37942_2148.91084162002","46358_2448.09801426453",404.1658214665,10,0.3,3
"155","37942_2148.91084162002","48494_2519.107282407",475.175089609,15,0.333333333333333,5
"156","37942_2148.91084162002","45337_2417.23587598812",373.3036831901,8,0.375,3
"157","37942_2148.91084162002","44741_2397.63768370721",353.7054909092,13,0.230769230769231,3
"158","37942_2148.91084162002","38424_2166.68041206292",122.7482192649,6,0,0
"159","37942_2148.91084162002","36979_2110.44817844374",147.0096422094,8,0,0
"160","37942_2148.91084162002","35611_2059.90111965301",381.5482534601,19,0.105263157894737,2
"161","37942_2148.91084162002","41498_2280.04160380687",1523.6025327974,57,0.105263157894737,6
"162","37942_2148.91084162002","41499_2280.04160380687",1523.6025327974,54,0.111111111111111,6
"163","37942_2148.91084162002","43555_2354.88403658012",1598.4449655706,53,0.113207547169811,6
"164","37942_2148.91084162002","42103_2303.7112410955",1547.272170086,56,0.142857142857143,8
"165","37942_2148.91084162002","39331_2199.12423393058",1442.6851629211,58,0.103448275862069,6
"166","37942_2148.91084162002","40962_2261.43180145797",1504.9927304485,48,0.125,6
"167","37942_2148.91084162002","37708_2138.40093182218",1381.9618608127,53,0.113207547169811,6
"168","37942_2148.91084162002","36025_2075.94899467376",1319.5099236643,44,0.136363636363636,6
"169","37942_2148.91084162002","38621_2174.61463936514",1418.1755683556,54,0.12962962962963,7
"170","37942_2148.91084162002","37892_2145.96208038664",1389.5230093771,48,0.145833333333333,7
"171","37942_2148.91084162002","43196_2343.14976996448",1586.7106989551,67,0.134328358208955,9
"172","37942_2148.91084162002","44154_2376.33784496519",1619.8987739558,55,0.181818181818182,10
"173","37942_2148.91084162002","43192_2343.14976996448",1586.710698955,65,0.138461538461538,9
"174","37942_2148.91084162002","42570_2320.24375654438",1563.8046855349,60,0.15,9
