"","from","to","TimeDiff"
"1","0","191","15.4129361345072"
"2","191","469","1"
"3","469","1401","75.4802006894261"
"4","469","1402","75.4802006894261"
"5","469","1403","75.4802006894261"
"6","1403","1566","10.645629070304"
"7","1403","1567","10.645629070304"
"8","1402","1784","27.904729312409"
"9","1784","1951","11.6718321315788"
"10","1784","1952","11.6718321315788"
"11","1401","2044","47.5641553608295"
"12","1401","2045","47.5641553608295"
"13","1952","2103","11.8780567610778"
"14","2045","2137","6.26885355312163"
"15","2045","2138","6.26885355312163"
"16","2045","2139","6.26885355312163"
"17","2137","2329","11.4298692910524"
"18","2137","2330","11.4298692910524"
"19","2137","2331","11.4298692910524"
"20","2137","2332","11.4298692910524"
"21","2137","2333","11.4298692910524"
"22","2137","2334","11.4298692910524"
"23","2138","2402","14.6864554554024"
"24","2139","2450","18.2932835041432"
"25","2332","2605","17.1292160625497"
"26","2334","2744","27.7916306127474"
"27","2334","2745","27.7916306127474"
"28","2330","2892","37.1535261804474"
"29","2450","2921","32.7398107303157"
"30","2605","3052","30.0136414500235"
"31","2605","3053","30.0136414500235"
"32","2605","3054","30.0136414500235"
"33","2605","3055","30.0136414500235"
"34","2402","3322","60.6787730449417"
"35","2402","3323","60.6787730449417"
"36","2402","3324","60.6787730449417"
"37","2402","3325","60.6787730449417"
"38","3325","3461","8.08928971404708"
"39","2921","3590","39.1930398242632"
"40","3323","3616","16.7919405312839"
"41","3054","3636","34.4252406247365"
"42","3054","3637","34.4252406247365"
"43","3322","3647","18.166618714305"
"44","3461","3657","10.5502247751469"
"45","3461","3658","10.5502247751469"
"46","3657","3711","3.88004395350001"
"47","3658","3745","6.0167742150561"
"48","3590","3877","18.1514820827776"
"49","3711","3926","12.9445366713919"
"50","3324","3946","36.6855463733821"
"51","3324","3947","36.6855463733821"
"52","3324","3948","36.6855463733821"
"53","3877","3983","5.48749125955916"
"54","3877","3984","5.48749125955916"
"55","3877","3985","5.48749125955916"
"56","3877","3986","5.48749125955916"
"57","3616","4019","23.4559982228533"
"58","2745","4231","88.9058505924559"
"59","2745","4232","88.9058505924559"
"60","2745","4233","88.9058505924559"
"61","3052","4252","70.254127525881"
"62","3647","4307","37.8418438086406"
"63","4307","4342","2.16601241710441"
"64","3947","4402","24.7022823927575"
"65","3947","4403","24.7022823927575"
"66","3985","4481","26.7888810147062"
"67","3985","4482","26.7888810147062"
"68","3985","4483","26.7888810147062"
"69","3985","4484","26.7888810147062"
"70","3926","4485","29.9112324652655"
"71","3926","4486","29.9112324652655"
"72","4019","4563","29.150471071594"
"73","4484","4606","7.12878578221239"
"74","4403","4638","12.9042210358141"
"75","4485","4674","10.6208516718095"
"76","4483","4676","10.8265927763837"
"77","4483","4677","10.8265927763837"
"78","4233","4684","23.7670855474838"
"79","4233","4685","23.7670855474838"
"80","4233","4686","23.7670855474838"
"81","4233","4687","23.7670855474838"
"82","4233","4688","23.7670855474838"
"83","4233","4689","23.7670855474838"
"84","3636","4732","61.0601765179683"
"85","3636","4733","61.0601765179683"
"86","4486","4784","16.0628152097612"
"87","4674","4832","8.00340949739115"
"88","4482","4925","22.5931858412758"
"89","4252","4936","35.0604159220961"
"90","4676","4975","13.7279265101113"
"91","4676","4976","13.7279265101113"
"92","4676","4977","13.7279265101113"
"93","4676","4978","13.7279265101113"
"94","4676","4979","13.7279265101113"
"95","4676","4980","13.7279265101113"
"96","3948","5025","54.8179454638925"
"97","3948","5026","54.8179454638925"
"98","4977","5052","3.15325904094624"
"99","4977","5053","3.15325904094624"
"100","4977","5054","3.15325904094624"
"101","4978","5146","8.34702317679523"
"102","4688","5152","21.8758279979904"
"103","4688","5153","21.8758279979904"
"104","4684","5228","25.7457005862066"
"105","4732","5265","25.7686101797459"
"106","4732","5266","25.7686101797459"
"107","4732","5267","25.7686101797459"
"108","4732","5268","25.7686101797459"
"109","4231","5334","55.6787990891212"
"110","4231","5335","55.6787990891212"
"111","4925","5336","20.5967434171889"
"112","5335","5465","7.1037963037341"
"113","5335","5466","7.1037963037341"
"114","4677","5502","41.1575177188167"
"115","5336","5512","9.16489850872387"
"116","5336","5513","9.16489850872387"
"117","5336","5514","9.16489850872387"
"118","5026","5539","28.9641978644918"
"119","5026","5540","28.9641978644918"
"120","5026","5541","28.9641978644918"
"121","4975","5571","32.5038736100569"
"122","4975","5572","32.5038736100569"
"123","4975","5573","32.5038736100569"
"124","4975","5574","32.5038736100569"
"125","4975","5575","32.5038736100569"
"126","4975","5576","32.5038736100569"
"127","4975","5577","32.5038736100569"
"128","4975","5578","32.5038736100569"
"129","4979","5636","34.3266094260472"
"130","5512","5648","7.20690385582856"
"131","5512","5649","7.20690385582856"
"132","5512","5650","7.20690385582856"
"133","5265","5723","23.4484028908264"
"134","5265","5724","23.4484028908264"
"135","5265","5725","23.4484028908264"
"136","5540","5745","8.25533713871539"
"137","4976","5803","41.3410810712748"
"138","5465","5890","19.3118016304537"
"139","5465","5891","19.3118016304537"
"140","5465","5892","19.3118016304537"
"141","5466","5909","19.8327377134825"
"142","5723","5925","7.85612649230899"
"143","5723","5926","7.85612649230899"
"144","5267","5949","32.7645705274743"
"145","5571","5965","15.5149631126459"
"146","5266","5983","34.304577575252"
"147","5266","5984","34.304577575252"
"148","5228","6173","43.0911217228517"
"149","5926","6186","10.1737441987497"
"150","5724","6282","22.8907169375777"
"151","5724","6283","22.8907169375777"
"152","5724","6284","22.8907169375777"
"153","5574","6288","28.6061998418597"
"154","4832","6333","69.0346960900175"
"155","4832","6334","69.0346960900175"
"156","3946","6362","117.477501317811"
