AncId, Desc1, Desc2, Branch Length 1, Branch Length 2
101, 2952_203.049830125997, 3740_268.359466715488, 30.9646654853, 96.2743020748
102, 13097_1133.5420578282, 4293_320.020794391859, 820.6943409141, 7.1730774778
103,   102, 3448_243.927813130165, 83.8163423624, 14.8964385785
104,   103, 4804_376.606317076218, 44.5468214890, 192.1217640135
105,   101,   104, 38.6828501299, 51.0822385519
106, 1732_104.136904321817,   105, 6.5736743134, 35.8390845024
107,   106, 4296_320.900688585766, 55.4153606533, 278.7528192306
108, 6067_503.372032489626,   107, 535.4249709168, 74.2008077823
109, 10665_909.207759614583, 5528_446.371268591624, 673.3103880784, 210.4738970554
110,   108,   109, 26.3721462463, 294.3224562097
111, 11717_1013.62511520795, 11430_988.221360995101, 37.2029524617, 11.7991982489
112,   111, 7303_597.813014983515, 404.0575221093, 25.4483743466
113, 7341_600.932843117824,   112, 242.7943189701, 214.2261164892
114, 4428_335.690773759872,   113, 60.0037418727, 82.4514922606
115, 10945_937.611055432732, 12112_1050.90425914352, 98.9939108727, 212.2871145835
116, 17174_1693.42204070571, 17584_1757.24109921067, 162.3235857496, 226.1426442545
117, 18886_1979.84991654115, 17999_1824.02091163473, 169.0295056185, 13.2005007121
118, 17647_1767.73542863523,   117, 138.5626936178, 181.6476759052
119,   118, 18765_1958.37720811281, 91.0899240507, 420.2943971460
120,   116,   119, 15.9032816868, 22.8876376974
121, 20147_2397.12737641397,   120, 963.1928731108, 81.2606699662
122, 15281_1379.57459009758, 16991_1665.72016307361, 94.5482602356, 380.6938332117
123, 18261_1865.08553323415,   122, 642.2327231290, 62.1735197568
124,   121,   123, 222.5623025413, 11.4806093432
125, 14994_1335.61419375675,   124, 166.8388829805, 42.5968899856
126, 11955_1036.33079480468,   125, 34.3742803494, 166.8187963210
127, 11513_995.402670081006,   126, 241.4753882359, 248.0292326101
128, 7876_651.112983869459,   127, 27.7938398271, 130.6081378028
129, 14922_1327.21120220597, 14708_1294.49041823176, 204.2225449228, 171.5017609485
130,   129, 11471_993.204143677379, 296.9192472730, 167.1347336672
131, 18921_1987.89109729529, 18536_1914.54857895595, 83.8889383142, 10.5464199748
132, 13632_1183.48818172013,   131, 55.1049088179, 775.6188860789
133, 19743_2238.11523333731, 19582_2174.03152589419, 459.3940390583, 395.3103316152
134,   133, 16321_1567.72670738666, 247.5675497971, 36.5730629048
135,   134, 15663_1445.78220802032, 139.6494836199, 54.2780471583
136,   132,   135, 380.2469972743, 643.3678852341
137, 9249_790.403233181316,   136, 74.6230937902, 32.3561362367
138,   130,   137, 166.3120236775, 56.0227530584
139,   128,   138, 98.0020444440, 134.4402867344
140,   115,   139, 400.3998498217, 87.0998048599
141,   114,   140, 32.9133565721, 195.4436194233
142, 589_9.92196377867471,   141, 9.5681898154, 242.4199013518
143, 6646_549.020917710146, 7282_596.233285612587, 48.8367393424, 96.0491072448
144, 6007_499.327080173782,   143, 118.2755162649, 119.1326144589
145,   144, 3393_239.433023980519, 159.2389270760, 17.6203871476
146,   145, 884_31.054193860975, 292.9359525647, 102.1775095927
147, 5673_463.806846622527, 11160_958.73939587313, 96.7898683114, 591.7224175620
148, 3523_250.942955143353,   147, 260.1656947093, 376.2397178772
149, 10573_902.024024287804, 4484_342.310189144312, 905.7290433556, 346.0152082121
150,   149, 1020_41.8194627880894, 1.0194215910, 46.5439034470
151, 8858_752.581428589871, 11867_1027.19134818773, 56.2410765033, 330.8509961011
152,   151, 7362_602.825747845168, 304.5715737804, 211.0569695390
153, 4885_384.827153714393,   152, 62.1886221526, 69.1302467444
154, 4318_323.232359960449,   153, 11.5676710368, 10.9738426381
155,   154, 3275_231.047158248844, 104.4677822767, 23.8502516018
156, 7344_601.354106180381, 6505_537.861256301951, 570.7880546723, 507.2952047939
157,   155,   156, 198.0748718243, 21.4440166854
158,   150,   157, 18.1571658999, 32.0036413815
159,   158, 349 1, -15.3289438229, 8.5526627359
160, 16731_1629.48039118803, 13897_1208.18208239157, 506.9101063438, 85.6117975473
161, 9021_766.761624786167,   160, 73.7575280808, 429.5661881389
162, 2054_131.520566835408,   161, 95.7075161482, 657.1910460181
163, 13748_1195.27921338086, 13676_1187.59227570189, 161.3910085792, 153.7040709002
164, 17738_1785.65052083706, 14355_1250.51217765243, 603.7237962593, 68.5854530747
165,   163,   164, 152.8347870944, 300.8733068704
166, 14609_1279.01145177096, 13444_1166.01094240743, 348.2246671267, 235.2241577632
167,   165,   166, 380.6505928568, 430.3839597937
168, 10140_864.516475324045,   167, 477.6023849285, 113.4887344550
169, 10491_893.345771373122, 10891_932.293948336689, 5.2591157116, 44.2072926752
170, 8441_703.233176665265,   169, 152.8936995432, 337.7471785395
171,   168,   170, 134.8595798846, 298.2849666111
172,   162,   171, 70.6508068674, 286.8922666912
173,   172, 2746_187.546569066489, 8.4323448060, 230.8166700527
174,   159,   173, 21.7634245847, -13.9540136656
175, 1050_44.1702987729942, 7712_635.919777015743, 59.8895314870, 651.6390097297
176,   174,   175, 32.1407357882, 45.7375903949
177, 585_9.62574220487811,   176, 63.7673318597, -7.3152334540
178, 19461_2123.64564392318, 19041_2013.74957107702, 118.2110204882, 8.3149476420
179, 18416_1894.97915807101, 16735_1629.70455042166, 338.8818762213, 73.6072685720
180,   178,   179, 977.4153083933, 528.0779668080
181, 13638_1183.89727669014,   180, 344.0021992399, 188.1242375914
182, 9573_818.483395468877,   181, 147.9924819666, 169.4041639480
183,   182, 7201_588.792041678752, 111.7625965736, 30.0637247500
184,   183, 1187_57.5360840257086, 541.1094777453, 39.9172448423
185,   184, 1257_64.3125947130147, 91.6526680518, 138.3464235813
186,   177,   185, 24.3868952514, 4.4946560379
187,   148,   186, 72.8591687676, 3.5534234273
188,   146,   187, 26.2938436017, 15.3352509999
189,   142,   188, 111.5305910584, 13.7596577616
190,   189, 5083_407.095839357684, 2.0325184760, 520.3051749288
191,   110,   190, 61.9090051857, 7.1247542880
192, 12831_1111.93401926053, 16900_1652.98752198891, 59.5087556656, 600.5622583939
193, 7864_650.243782299754,   192, 164.6422202782, 566.8237015734
194, 8945_759.948578190294,   193, 300.2389450631, 25.8919288943
195,   194, 3419_241.304021849158, 295.5992171975, 77.1936059195
196, 13104_1133.9851562057, 3190_222.867503086055, 948.7384187105, 37.6207655909
197,   195,   196, 159.8312394213, 180.9675609868
198, 2186_141.918945033171,   197, 242.0517674027, 104.4119988780
199,   191,   198, 50.2283020237, 70.4295695133
