"","x"
"1",0.181923188621266
"2",0.172855798404518
"3",0.192310500254712
"4",0.189791984790715
"5",0.20197858345527
"6",0.18465879233993
"7",0.176738366795209
"8",0.177927169519759
"9",0.16983262668732
"10",0.191783935971064
"11",0.178860506058964
"12",0.177536859822966
"13",0.181109060369509
"14",0.18605975898598
"15",0.173316697503531
"16",0.192329640486137
"17",0.190373057453639
"18",0.205092112996229
"19",0.206866819306368
"20",0.206334060817473
"21",0.209099029371701
"22",0.194357403081013
"23",0.211412502650369
"24",0.217301735355736
"25",0.199875808681229
"26",0.193240121497589
"27",0.193952081479467
"28",0.196472665088021
"29",0.189467824632774
"30",0.191552325744382
"31",0.213624359228386
"32",0.178039441717221
"33",0.189047308366346
"34",0.197121908722888
"35",0.199420477833266
"36",0.165346431597952
"37",0.185304385805609
"38",0.200105485895778
"39",0.200526289534851
"40",0.205322390934587
"41",0.206569818172212
"42",0.203169249126303
"43",0.209595433039283
"44",0.175009515086879
"45",0.191372015887994
"46",0.203793521602994
"47",0.195599471691272
"48",0.208738859069396
"49",0.189992312659521
"50",0.207818699891751
"51",0.201928970518052
"52",0.179120171015212
"53",0.183047850499382
"54",0.164606100498195
"55",0.166348010638635
"56",0.185266162841249
"57",0.196268607313427
"58",0.192757131192968
"59",0.184371633101203
"60",0.191557904605815
"61",0.178699464887897
"62",0.17504722162451
"63",0.187812707257694
"64",0.178501290009553
"65",0.174703730845811
"66",0.191666646467086
"67",0.172279956073101
"68",0.18338803570403
"69",0.182964736588098
"70",0.185348696273286
"71",0.203176039039291
"72",0.200454303949019
"73",0.195067085843273
"74",0.1837097811492
"75",0.187225517712626
"76",0.185275597418237
"77",0.170290765945686
"78",0.204547032757209
"79",0.191233267753187
"80",0.170534580861187
"81",0.18791808567792
"82",0.185754800264469
"83",0.188666653128623
"84",0.187614745402176
"85",0.164162158438737
"86",0.199160929905193
"87",0.198171876998151
"88",0.188513528742069
"89",0.18753425137271
"90",0.187658283919505
"91",0.217141430365506
"92",0.189645536731878
"93",0.199399221042996
"94",0.195878819481953
"95",0.196531672327515
"96",0.183221396230654
"97",0.172125848010671
"98",0.188641259077049
"99",0.205613179264702
"100",0.207870216584393
"101",0.209358858944079
"102",0.206803309050801
"103",0.20059910959486
"104",0.214162510931017
"105",0.204817610235275
"106",0.226086361552161
"107",0.202398363393436
"108",0.189783382159177
"109",0.205185226655496
"110",0.179958504304734
"111",0.187799564338088
"112",0.188766757523681
"113",0.196974039695067
"114",0.198015350950581
"115",0.176653528173304
"116",0.201366204843501
"117",0.175716673188652
"118",0.202389654704121
