AncId,Desc,Branch.Length,Clock.Rate
239,227,144.823605,0.0001
239,238,91.06604,0.0001
240,218,388.48118,0.0001
240,239,37.33658,0.0001
241,RV2878_03-07-2011_Serengeti.fasta,69.393435,0.0001
241,RV2885_24-07-2011_Serengeti.fasta,90.393345,0.0001
242,RV2887_25-07-2011_Serengeti.fasta,175.47594,0.0003
242,241,84.082495,0.0001
243,242,152.049145,0.0002
243,RV2889_04-08-2011_Serengeti.fasta,337.52499,0.0001
244,243,151.046125,0.0001
244,RV2793_02-01-2011_Serengeti.fasta,274.57125,0.0004
245,240,34.95021,0.0001
245,244,182.26932,0.0002
246,RV2808_04-04-2010_Morogoro.fasta,321.51901,0.0003
246,245,137.67873,0.0001
247,RV2867_22-05-2011_Serengeti.fasta,191.529005,0.0002
247,RV2906_09-09-2011_Serengeti.fasta,301.529055,0.0001
248,247,62.390545,0.0001
248,RV3114_06-05-2012_Serengeti.fasta,603.575315,0.0001
249,RV2882_23-07-2011_Serengeti.fasta,46.058985,0.0001
249,RV2892_12-08-2011_Serengeti.fasta,66.05916,0.0001
250,248,207.685365,0.0001
250,249,477.545925,0.0002
251,246,203.868195,0.0002
251,250,476.78198,0.0001
252,RV3066_22-02-2013_Serengeti.fasta,404.488255,0.0002
252,RV3111_29-04-2012_Serengeti.fasta,106.16317,0.0001
253,251,191.860425,0.0001
253,252,1366.759655,0.0002
254,212,2371.113365,0.0001
254,253,702.33738,0.0003
255,RV2792_07-01-2011_Serengeti.fasta,168.793885,0.0001
255,RV3075_31-01-2013_Serengeti.fasta,922.794095,0.0002
256,255,242.383725,0.0001
256,RV2799_29-01-2011_Serengeti.fasta,433.177985,0.0001
257,RV2794_12-01-2011_Serengeti.fasta,446.739195,0.0001
257,RV2789_22-10-2010_Serengeti.fasta,364.739025,0.0004
258,RV2810_23-04-2010_Morogoro.fasta,59.031815,0.0001
258,RV2896_19-08-2011_Serengeti.fasta,542.031935,0.0001
259,257,312.3232,0.0001
259,258,436.030825,0.0003
260,256,898.60737,0.0002
260,259,555.72272,0.0003
261,254,617.823455,0.0001
261,260,1005.62318,0.0005
262,211,515.524175,0.0003
262,261,565.734305,0.0002
263,RV3128_16-06-2012_Serengeti.fasta,3616.939395,0
263,262,210.25241,0.0001
264,263,321.46791,0.0001
264,RV2501_14-02-2004_Serengeti.fasta,895.74358,0.0001
265,RV2500_23-11-2008_Serengeti.fasta,221.90102,0.0003
265,RV2491_02-08-2008_Serengeti.fasta,109.20946,0.0001
266,265,66.85121,0.0001
266,RV2493_31-07-2008_Serengeti.fasta,174.065945,0.0001
267,RV2483_28-09-2008_Serengeti.fasta,309.31049,0.0002
267,266,76.405815,0.0001
268,RV2490_07-08-2008_Serengeti.fasta,47.909535,0.0001
268,RV2489_17-01-2009_Serengeti.fasta,210.50791,0.0001
269,267,160.18974,0.0001
269,268,369.732955,0.0002
270,269,772.533085,0.0002
270,RV2485_28-09-2008_Serengeti.fasta,1242.033315,0.0006
271,RV3117_12-05-2012_Serengeti.fasta,3326.135135,0
271,270,762.721885,0.0002
272,264,868.432455,0.0002
272,271,1445.800405,0.0001
273,RV2773_26-10-2010_Kibaha.fasta,6791.64917,0.0001
273,272,2583.3532,0.0002
274,RV2783_28-02-2011_Newala.fasta,3389.713025,0
274,RV2504_18-06-2003_Ngorongoro.fasta,579.713075,0.0001
275,RV2777_15-12-2010_Pemba.fasta,11663.4447,0.0001
275,274,8348.731505,0.0002
276,RV2949_17-07-2009_Dodoma.fasta,2903.45309,0.0003
276,RV2813_29-04-2010_Morogoro.fasta,3189.45322,0.0003
277,PM023_12-05-2017_Pemba.fasta,696.87698,0.0004
277,RAB16031_15-09-2016_Pemba.fasta,458.17209,0.0002
278,RAB16028_04-10-2016_Pemba.fasta,401.898945,0.0001
278,RAB16025_21-09-2016_Pemba.fasta,388.934145,0.0005
279,RAB16029_05-10-2016_Pemba.fasta,222.78286,0.0001
279,RAB16026_16-09-2016_Pemba.fasta,203.834615,0.0001
280,RAB16024_21-09-2016_Pemba.fasta,133.848055,0.0001
280,RAB16027_07-10-2016_Pemba.fasta,149.804395,0.0001
281,279,201.86179,0.0001
281,280,276.834615,0.0001
282,278,347.374515,0.0001
282,281,325.626355,0.0001
283,277,879.57992,0.0004
283,282,607.426795,0.0001
284,RV2503_15-02-2009_Serengeti.fasta,1167.409065,0.0001
284,283,2596.952005,0.0002
285,RV2784_28-02-2011_Nachingwea.fasta,1050.060835,0.0001
285,RV2767_12-09-2009_Serengeti.fasta,516.060725,0.0002
286,RV2778_15-12-2010_Pemba.fasta,1259.97562,0.0003
286,285,284.91462,0.0001
287,286,1100.399445,0.0001
287,RV2934_15-06-2007_Dodoma.fasta,1082.375015,0.0001
288,RV2772_02-08-2010_Kibaha.fasta,108.20571,0.0001
288,SD641_05-04-2017_Serengeti.fasta,2544.20549,0
289,288,3551.056165,0.0001
289,SUB7087_19-10-2001_Temeke.fasta,452.261645,0.0009
290,RV3116_07-05-2012_Serengeti.fasta,996.851865,0.0002
290,RV2862_11-05-2011_Serengeti.fasta,635.19855,0.0001
291,289,397.79452,0.0003
291,290,3703.857575,0
292,287,2174.586415,0
292,291,342.90509,0.0002
293,284,3393.07285,0.0001
293,292,693.520805,0.0003
294,293,1118.06362,0.0005
294,RV2932_11-06-2007_Same.fasta,5064.54582,0.0001
295,276,4030.657405,0.0001
295,294,1103.56509,0.0003
296,295,1637.276485,0.0003
296,RV2861_11-05-2011_Serengeti.fasta,9234.38685,0.0002
297,296,1306.06709,0.0001
297,RV2811_24-04-2010_Morogoro.fasta,10158.45407,0.0001
298,275,1160.04665,0.0001
298,297,2430.03714,0.0001
299,273,8287.72942,0.0002
299,298,2305.887865,0.0001
300,RV2816_28-09-2010_Kilombero.fasta,54.91425,0.0001
300,RV2815_27-09-2010_Kilombero.fasta,53.91415,0.0001
301,300,924.154815,0.0003
301,RV2814_17-05-2010_Ulanga.fasta,845.06917,0.0004
302,RV2498_06-08-2008_Ulanga.fasta,1001.33881,0.0004
302,301,804.865515,0.0002
303,302,680.694705,0.0001
303,RV2499_05-08-2008_Ulanga.fasta,1681.0367,0.0002
304,303,3052.76802,0.0002
304,RV2817_26-11-2010_Pemba.fasta,5576.39773,0.0002
305,299,5558.53755,0.0002
305,304,15092.51896,0.0004
